Type,Variable,Description,Abbreviation,PolicyObjective,IssueCategory,Units,RawPolarity,RAW Processing Script,Data available?,Calculation required,RawFileExists,Aggregate,Normalization,Transformation,Alpha,Target_Good,Target_Bad,Materiality,Oldyear,Source,Notes
Precursor,Tree cover area,Tree cover area (30% canopy cover),TCA,Ecosystem,EcoSvcs,ha,,~\Source\GFW\01_TCL.R,yes,,yes,sum,none,log,2,,,,,GFW,
Precursor,"Tree cover loss, annual","Tree cover loss, annual (30% canopy cover)",TCC,Ecosystem,EcoSvcs,ha,,~\Source\GFW\01_TCL.R,yes,,yes,sum,none,log,1,,,,,GFW,
Precursor,Greenhouse gas emissions,"Sum of CO2, N2O, CH4, and F-gasses",GHG,Ecosystem,Climate,Gg CO2-eq.,,~\Source\PIK\GHG_raw.R,yes,,yes,none,none,none,,,,,,PIK,
Precursor,Methane,Methane emissions [Gg],CH4,Ecosystem,Climate,Gg,negative,~/Source/Copernicus/Copernicus_EcoIndicators_raw.R,yes,,yes,sum,none,log,,,,,,PIK,
Precursor,F-gasses,F-gasses emissions [Gg CO2-eq.],FOG,Ecosystem,Climate,Gg CO2-eq.,negative,~\Source\PIK\PIK_raw.R,yes,,yes,sum,none,log,7.92E-12,,,,,PIK,
Precursor,N2O,N2O emissions [Gg],NOT,Ecosystem,Climate,Gg,negative,~\Source\PIK\PIK_raw.R,yes,,yes,sum,none,log,,,,,,PIK,
Precursor,CO2,CO2 emissions [Gg],CDO,Ecosystem,Climate,Gg,negative,~\Source\PIK\PIK_raw.R,yes,,yes,sum,none,log,,,,,,PIK,
Precursor,Black Carbon emissions,Black Carbon emissions [Gg],BLC,Ecosystem,Climate,ktC,negative,~\Source\CEDS\BC_raw.R,yes,,yes,sum,none,log,1.57E-05,,,,,CEDS,
Precursor,NOx,NOx emissions [Gg],NOX,Ecosystem,AirPollution,ktNO2,negative,~\Source\CEDS\CEDS_raw.R,yes,,no,sum,none,log,,,,,,CEDS,
Precursor,SO2,SO2 emissions [Gg],SO2,Ecosystem,AirPollution,ktSO2,negative,~\Source\CEDS\CEDS_raw.R,yes,,no,sum,none,log,,,,,,CEDS,
Precursor,Area of MPAs,Total area of all Marine Protected Areas in a country,AMP,Ecosystem,Biodiversity,km^2,,~\Source\CIESIN\MPA_raw.R,no,,no,sum,none,none,,,,,,WDPA,
Precursor,Terrestrial protected areas,Terrestrial protected areas,TPA,Ecosystem,Biodiversity,km^2,,~\Source\CIESIN\TPA_raw.R,no,,no,sum,none,none,,,,,,,
Precursor,Terrestrial Ecoregions of the World,Areas of biomes,TEW,Ecosystem,Biodiversity,km^2,,~\Source\CIESIN\TPA_raw.R,no,,no,sum,none,none,,,,,,,
Precursor,CO2 from LULC,CO2 emissions from LULC [Gg],CDL,Ecosystem,Climate,Gg,,,no,,no,none,none,none,,,,,,PIK,
Precursor,Total fish catch,Total fish catch,TFC,Ecosystem,Fisheries,tonnes,,,yes,,no,sum,none,none,,,,,,SAU,
Precursor,Area of EEZs,Total area of all Economic Exclusion Zones in a country,EEZ,Ecosystem,Fisheries,km^2,,~\Source\CIESIN\TPA_raw.R,no,,no,sum,none,none,,,,,,WDPA,
Precursor,Connection to wastewater treatment facilities,Proportion of population connected to wastewater system,CXN,Ecosystem,WaterResources,proportion,,~\Source\EPI_WWT\WWT_raw.R,yes,,yes,none,none,none,,,,,,,
Precursor,Wastewater treatment rate,Proportion of waterwater collected that is treated,WST,Ecosystem,WaterResources,proportion,,~\Source\EPI_WWT\WWT_raw.R,yes,,yes,none,none,none,,,,,,,
Precursor,Municipal Solid Waste Generated,Municipal Solid Waste Generated,MWG,Health,WasteManagement,tonnes,,,yes,,no,sum,none,none,,,,,,,
Precursor,Landfill unspecified,Municipal Solid Waste Treated in Unspecified Landfills,LFU,Health,WasteManagement,tonnes,,,yes,,no,sum,none,none,,,,,,,
Precursor,Controlled Landfill,Municipal Solid Waste Treated in Controlled Landfills,LFC,Health,WasteManagement,tonnes,,,yes,,no,sum,none,none,,,,,,,
Precursor,Incineration without energy recovery,Municipal Solid Waste Incinerated without energy recovery,INC,Health,WasteManagement,tonnes,,,yes,,no,sum,none,none,,,,,,,
Precursor,Incineration with energy recovery,Municipal Solid Waste Incinerated with energy recovery,INE,Health,WasteManagement,tonnes,,,yes,,no,sum,none,none,,,,,,,
