"code","iso","country","WDD.raw.2001","WDD.raw.2002","WDD.raw.2003","WDD.raw.2004","WDD.raw.2005","WDD.raw.2006","WDD.raw.2007","WDD.raw.2008","WDD.raw.2009","WDD.raw.2010","WDD.raw.2011","WDD.raw.2012","WDD.raw.2013","WDD.raw.2014","WDD.raw.2015","WDD.raw.2016","WDD.raw.2017","WDD.raw.2018","WDD.raw.2019","WDD.raw.2020","WDD.raw.2021","WDD.raw.2022"
132,"CPV","Cabo Verde",0.8984093734935,0.820877325339332,0.983334895696898,0.968777684320062,0.962684497512436,0.885818541133483,0.905781364618736,1,0.820111835263945,0.8750043428867,0.8153270550085,0.824268643756982,0.990485661436394,0.849583798705258,NA,NA,NA,0.773963273777397,1,0.806667361810895,NA,NA
116,"KHM","Cambodia",0.935433294011708,0.968252182254304,0.96582648987567,0.968869555400185,0.97180279231638,0.957870776595193,0.960083191481796,0.970704674644008,0.965053290828423,0.977507053825567,0.981004002816856,0.97697767146757,0.987951178683098,0.980881371117143,0.975752027232963,0.973496614773836,0.959865803631699,0.968796641137221,0.967927660022687,0.96532633969871,0.960922442763754,0.957560193095032
120,"CMR","Cameroon",0.759856124903469,0.751455873123852,0.759811331397097,0.755968914999935,0.759126823392546,0.75715875039904,0.756753404199591,0.753285466322346,0.758219956747662,0.752889748617693,0.754932121446209,0.753858831485117,0.755345674543028,0.754582342919878,0.754090945242011,0.75361485914288,0.75444441323938,0.755268243921048,0.752605508039766,0.75206971522102,0.755827197509042,0.757104472387824
124,"CAN","Canada",0.395211684844786,0.342058075004423,0.354696817424713,0.34816964884157,0.336459177676949,0.346580364388923,0.362896775318822,0.335607256528414,0.359216137564345,0.336484454297328,0.321246561779813,0.329866166381482,0.293458037317361,0.307308190016318,0.329569638657806,0.409426356821639,0.368810157876122,0.371148047870925,0.383611049090422,0.421032156202922,0.356427115213838,0.338826006528609
136,"CYM","Cayman Islands",0.843006273104104,0.782460205656644,0.778719970040475,0.802040641041998,0.81943142373366,0.784417410259706,0.844451400580857,0.810108857459888,0.798058715500502,0.816591105423156,0.792954803436603,0.818800196432195,0.762047888304899,0.801825481465425,1,0.794510412407799,0.852220361557559,0.753422233277599,0.795591700931836,0.80929743269752,0.825517638788182,0.861488758715078
140,"CAF","Central African Republic",0.773662013853102,0.77481701579927,0.775627491366399,0.768068577228619,0.764011460828629,0.759459972847607,0.764465193392669,0.758625490366877,0.766189111444493,0.759446407280798,0.763586939532433,0.764227582879807,0.765186521360521,0.760824387259638,0.755006212098516,0.755052524310758,0.757458060297569,0.75357932783658,0.754604630536416,0.755371337271501,0.757603003315426,0.756969938769465
148,"TCD","Chad",0.752192300350538,0.760881884100711,0.762904833248829,0.758526556476197,0.751843513919757,0.750737897145384,0.75090682618574,0.751011066963991,0.756173443269442,0.753493296555566,0.750906740862534,0.751548579552228,0.750184191203682,0.750507504475948,0.750051423609933,0.750421361645558,0.750785782344007,0.750082507219921,0.75026386215272,0.750582908111159,0.75052713942505,0.750688932803603
152,"CHL","Chile",0.520568629341385,0.519473218916669,0.526744275830775,0.525894582560354,0.525463927276451,0.52028486366002,0.527834286982356,0.557190323470831,0.53862668156506,0.536121147016792,0.530425558503616,0.548484299766116,0.519771622212842,0.525832326325406,0.521895851476838,0.516750542927491,0.519900061429011,0.515606534980323,0.527597708830478,0.53132165973259,0.516691479756158,0.523535789475964
156,"CHN","China",0.496260135287671,0.503369652539893,0.472165229952913,0.480370395454526,0.495764798093719,0.470487750995381,0.50304863416069,0.507837449568215,0.510100326628129,0.503191524664763,0.509483957651713,0.515512465352144,0.515629184029774,0.511081444490086,0.510159239313936,0.513068554312404,0.510951981066816,0.50724015888591,0.516581311955258,0.52199952279687,0.517719340214255,0.514140368171066
170,"COL","Colombia",0.77456981206317,0.79135449945534,0.766085910528329,0.787349545624134,0.783890640281414,0.776865871133428,0.800773525930592,0.799177527253492,0.776274324189913,0.787624136848801,0.802709401622155,0.78264439194959,0.806800607226457,0.809276839324681,0.797317026043897,0.789351544910552,0.802456973657472,0.836128349243026,0.8095204322507,0.832998314622958,0.826516588326012,0.827688829165436
