"code","iso","country","CHA.raw.1999","CHA.raw.2000","CHA.raw.2001","CHA.raw.2002","CHA.raw.2003","CHA.raw.2004","CHA.raw.2005","CHA.raw.2006","CHA.raw.2007","CHA.raw.2008","CHA.raw.2009","CHA.raw.2010","CHA.raw.2011","CHA.raw.2012","CHA.raw.2013","CHA.raw.2014","CHA.raw.2015","CHA.raw.2016","CHA.raw.2017","CHA.raw.2018","CHA.raw.2019","CHA.raw.2020","CHA.raw.2021","CHA.raw.2022"
40,"AUT","Austria",-0.0404045397482359,-0.04326737399182,-0.0448580949158255,-0.0468936054829598,-0.0441526052465376,-0.0406118611063298,-0.0370245597487578,-0.0344699041381494,-0.0335052920955186,-0.0324164873626652,-0.0310892241957418,-0.0302815123302824,-0.0324174576552261,-0.0345694160194811,-0.0359431192351918,-0.0355782674424698,-0.0355795424163552,-0.0347880638873546,-0.0335758118512199,-0.0341493812545056,-0.034308520063491,-0.0317026317928789,-0.0292939030702886,-0.0303412729908135
31,"AZE","Azerbaijan",-0.0116901938107278,-0.0155662472895679,-0.0241946188997315,-0.035461818152855,-0.0479712754261715,-0.0610408706898253,-0.0718589948168866,-0.0779622467827562,-0.0450824568761218,-0.0137101816982945,0.00622118744034617,0.0227316331217953,0.0388519951318118,0.0490972808294066,0.0540343138805459,0.0471623660219607,0.0301792903207552,0.0136360225858438,0.0149736484155285,0.0204579911828249,0.0247653380421919,0.00907365226838808,-0.0011000492532517,-0.00161852466636871
44,"BHS","Bahamas",0.0199904133569451,0.0215601388448525,0.0219854168077585,0.0217915858225135,0.0211261101053193,0.0201002452203458,0.0194336203254895,0.0190738973847362,0.0186643036994938,0.0180756871507566,0.0175945087444145,0.0181478913127251,0.019086184231049,0.0200160254634483,0.0206356187560044,0.020336883482956,0.0189062568780101,0.0175709446412269,0.0161746209082807,0.0144635965329878,0.0129845754270632,0.0114682135478443,0.0111062919044493,0.0118094101440331
48,"BHR","Bahrain",0.0800594688221168,0.0848775871526375,0.0825798403415929,0.0699613326205848,0.04651289658458,0.0136226848895888,-0.022437041252695,-0.073651132441418,-0.123652080118352,-0.144369934915204,-0.123195109799527,-0.0811168280234965,-0.037332598896387,-0.00502250711687746,0.0153095888159502,0.0302563070485977,0.0369128304133759,0.0336124927031445,0.0292063186805471,0.0270042899819547,0.0262327718255531,0.0311316150683467,0.0220615062092073,0.0209584117132067
50,"BGD","Bangladesh",0.0298164603087516,0.0374380597072932,0.0431446313576658,0.0470057293296424,0.0471104514411906,0.0434971901758978,0.0403377076215643,0.0371496705886116,0.0341392687757027,0.0315676889124412,0.0303453229627888,0.0296836862068079,0.0293687796657118,0.0291111404869715,0.0278639453334055,0.0253118325454669,0.0223380868586756,0.018934708381535,0.0159555500155906,0.0140199095150868,0.0121823161574206,0.0108988318441168,0.0111421680994848,0.0121407157256659
52,"BRB","Barbados",0.00999654436003028,0.00832586845044547,0.00574904015425792,0.00246922557562468,-3.08533920441578e-05,-0.00109930557868526,-0.00286283704184285,-0.00351396761575162,-0.00324465306821444,-0.00313186142398087,-0.00300360790462964,-0.00178752218669142,-0.00111422837127881,-0.00113572086083573,-0.00136374411435828,-0.000759878314510051,-0.000389461360012381,-0.000693302426263182,-0.000928382881796754,-0.000529885859311253,-0.00054586118325239,-0.000436106675483157,-7.78516425261501e-05,-6.12645530959678e-05
112,"BLR","Belarus",-0.0134501870945658,-0.020152678538519,-0.0262869082656548,-0.0263395314783047,-0.0209557566392173,-0.0119011243891637,-0.00309009405028536,0.001445991534194,0.00519107716695522,0.00930964843655713,0.0114118442658466,0.013728044553232,0.0145072860778972,0.0145533982049266,0.0138406710361776,0.011993706528691,0.0102507556174505,0.00860105034350966,0.0069111929223018,0.00589228369849804,0.00426749990828657,0.00395213906619407,0.00378049595217433,0.00432787850387784
56,"BEL","Belgium",-0.0146887394343528,-0.0200737098117926,-0.027624377023767,-0.0373396816978542,-0.0511845160435941,-0.0594802018966342,-0.0636568446535806,-0.064380741147457,-0.0611468435556166,-0.0554268079146374,-0.0462956493994055,-0.0372671798205146,-0.0316387711974709,-0.0266500987127478,-0.0269521452883562,-0.0267972252474751,-0.026349010863723,-0.0248246877693953,-0.0248263748736329,-0.0250279917570648,-0.0244646407864076,-0.0220146018723407,-0.0227756099227395,-0.0227197921080614
84,"BLZ","Belize",-0.0225833041007057,-0.0117189113961365,-0.00340682273279889,0.012840475985086,0.0259224142503047,0.037897151440923,0.0370144121356395,0.0525028825401725,0.0720531876225325,0.0913193988723944,0.106739311081637,0.109042236923027,0.115071937326272,0.0972980834298427,0.083318308950981,0.0455754997918101,0.0101950386066505,-0.0083125723897365,-0.0197692540499947,-0.026331044663209,-0.0211785308431777,-0.0154646174018299,0.00500339370530445,0.00721168493434066
204,"BEN","Benin",0.032463174878619,0.0337492056130226,0.0285207000327354,0.0259980520071301,0.0215714177960156,0.0182797722096508,0.0153573559508033,0.0150672417509687,0.0159477502058725,0.017194394266284,0.0185027055656017,0.025590268151765,0.0265080605423289,0.0294517652464878,0.0326550434673325,0.0319080533207925,0.0348356016043241,0.035685186497342,0.035645577619815,0.0328476306750234,0.0300102165402683,0.0284024254752306,0.0271097167965462,0.0256287678046245
