"code","iso","country","NDP.raw.2000","NDP.raw.2001","NDP.raw.2002","NDP.raw.2003","NDP.raw.2004","NDP.raw.2005","NDP.raw.2006","NDP.raw.2007","NDP.raw.2008","NDP.raw.2009","NDP.raw.2010","NDP.raw.2011","NDP.raw.2012","NDP.raw.2013","NDP.raw.2014","NDP.raw.2015","NDP.raw.2016","NDP.raw.2017","NDP.raw.2018","NDP.raw.2019","NDP.raw.2020","NDP.raw.2021","NDP.raw.2022"
591,"PAN","Panama",1.20930223261178e-06,1.31981977272965e-06,1.29125694090657e-06,1.3169441364241e-06,1.24872391207627e-06,1.24324383187713e-06,1.24978737287273e-06,1.18603082980778e-06,1.21592686815004e-06,1.23056417996243e-06,1.23633375160785e-06,1.22266158516583e-06,1.26236330389772e-06,1.26649982363205e-06,1.16745735759142e-06,1.12456120001041e-06,1.08783767673637e-06,1.06687812174764e-06,1.08036602801029e-06,1.08445724686783e-06,1.10609268451256e-06,1.15138877940609e-06,1.136420086191e-06
598,"PNG","Papua New Guinea",9.64000307172979e-07,9.59903581458172e-07,9.80891953224012e-07,9.68645439650106e-07,1.02174326880937e-06,9.07857398068387e-07,9.00388284994358e-07,8.32241738483638e-07,8.02747216722696e-07,7.96315748706666e-07,7.66160345887769e-07,7.16057375282084e-07,7.18864717010868e-07,7.04615913380511e-07,7.14779139743811e-07,7.31383637324016e-07,6.60735850729433e-07,6.62658824179938e-07,6.89231808809026e-07,6.45534088286847e-07,6.18484374807685e-07,6.06064443646409e-07,6.00436632786857e-07
600,"PRY","Paraguay",3.88382181337787e-06,4.45165834826973e-06,4.29394655682234e-06,4.67005675426572e-06,4.15410894916922e-06,4.38205853772898e-06,4.33629797594258e-06,4.88359425381631e-06,4.4462961821373e-06,4.48920084158487e-06,4.87118827350699e-06,5.04796507971764e-06,5.01407824865844e-06,5.32831406148741e-06,5.40165934377884e-06,5.24445811312814e-06,5.25004328493134e-06,5.58579753545172e-06,5.0750171340028e-06,5.16077577639048e-06,5.54489971210337e-06,5.23583717232572e-06,5.16167547395979e-06
604,"PER","Peru",9.97957600983461e-07,9.77238161342687e-07,9.91420989070114e-07,9.91914772365877e-07,9.93048267774282e-07,9.80557011094541e-07,9.9361976313937e-07,1.03495103055773e-06,1.01714267265867e-06,1.0720690304904e-06,1.05030617622454e-06,1.06181885634917e-06,1.05211537544267e-06,1.05197246668468e-06,1.03116724409287e-06,1.04845479416211e-06,1.04391580334027e-06,1.05677856053218e-06,9.90561901362144e-07,1.03580027345737e-06,1.00886492007328e-06,1.04106509441912e-06,1.04847083612289e-06
608,"PHL","Philippines",5.0026794479397e-07,5.01092066738029e-07,4.78559712909445e-07,5.05167191230751e-07,5.20048452914358e-07,4.90370821197235e-07,4.58465969453311e-07,4.70068699368032e-07,4.36153265835657e-07,4.37884186217147e-07,4.67049252562695e-07,4.35965433463355e-07,4.21289644719914e-07,4.31293418772359e-07,4.42140746407204e-07,4.2608384349756e-07,4.42430343871547e-07,4.71245141432144e-07,4.44879044295916e-07,4.49353494471738e-07,4.48342650585884e-07,4.37301164078136e-07,4.44794399370455e-07
616,"POL","Poland",2.47264479864137e-06,2.4837850667312e-06,2.45354713337283e-06,2.51540587945369e-06,2.52735422260129e-06,2.60707034858365e-06,2.61658848406897e-06,2.67572144795355e-06,2.62289860249077e-06,2.55559379772326e-06,2.62861870765854e-06,2.6166968642067e-06,2.67975620733999e-06,2.610396644644e-06,2.58341272767476e-06,2.6061950783875e-06,2.68632515906535e-06,2.73865639305365e-06,2.63332872500806e-06,2.6339720496056e-06,2.59636977899458e-06,2.64920845360298e-06,2.66229347690976e-06
620,"PRT","Portugal",1.39943078152961e-06,1.26414662093608e-06,1.2668394878859e-06,1.24296992940218e-06,1.24000117895497e-06,1.21866112937516e-06,1.18795455893243e-06,1.24253483176078e-06,1.20285916782793e-06,1.13547686763945e-06,1.16332958167425e-06,1.07032306707232e-06,1.12222302109285e-06,1.13796158566819e-06,1.18257154894375e-06,1.17782491651925e-06,1.17186153206659e-06,1.20384843159908e-06,1.15715732924977e-06,1.16660443156081e-06,1.14595582961812e-06,1.10410050336329e-06,1.10800580440884e-06
634,"QAT","Qatar",1.42119123072374e-06,1.28014189098612e-06,1.40215876363249e-06,1.37603954443739e-06,1.38827651897376e-06,1.35499758456952e-06,1.26100920142652e-06,1.20952063206788e-06,1.12859236836147e-06,1.05572095183801e-06,1.10883896390087e-06,1.0974569483713e-06,1.09673289044216e-06,1.12994294770673e-06,1.13345661367418e-06,1.10578557782266e-06,1.0712224189127e-06,1.05097990047036e-06,1.03732490172521e-06,1.05798053957008e-06,1.10491833566694e-06,1.16805264420707e-06,1.22443436697856e-06
178,"COG","Republic of Congo",6.4134676438962e-07,6.72996935251856e-07,8.97585764469893e-07,1.30816173200613e-06,1.32937737721464e-06,1.48386575071763e-06,1.46853544795445e-06,1.28401859400469e-06,1.25684602071302e-06,1.16742576745912e-06,1.27763591837912e-06,1.30883885052537e-06,1.24966663180047e-06,1.29244297820287e-06,1.11024354375179e-06,1.22028613142837e-06,1.19533649107816e-06,1.13885782912991e-06,1.1413213082299e-06,1.10936926971729e-06,9.8383528808486e-07,9.3903052980171e-07,9.36281912306396e-07
642,"ROU","Romania",1.62634439085627e-06,1.60401446414395e-06,1.47718671492818e-06,1.58058240150816e-06,1.75277091638406e-06,1.7730093104096e-06,1.63255599761439e-06,1.67121726197916e-06,1.772335258638e-06,1.62513912492003e-06,1.84225997192356e-06,1.84638035991314e-06,1.71502343075979e-06,1.82148514791535e-06,1.81827506071507e-06,1.75619067305301e-06,1.85765424862022e-06,1.94499741305134e-06,2.043753790316e-06,2.04422463179178e-06,1.95689129391002e-06,2.13913476444413e-06,2.0836997391841e-06
