"code","iso","country","UWX.raw.1990","UWX.raw.1991","UWX.raw.1992","UWX.raw.1993","UWX.raw.1994","UWX.raw.1995","UWX.raw.1996","UWX.raw.1997","UWX.raw.1998","UWX.raw.1999","UWX.raw.2000","UWX.raw.2001","UWX.raw.2002","UWX.raw.2003","UWX.raw.2004","UWX.raw.2005","UWX.raw.2006","UWX.raw.2007","UWX.raw.2008","UWX.raw.2009","UWX.raw.2010","UWX.raw.2011","UWX.raw.2012","UWX.raw.2013","UWX.raw.2014","UWX.raw.2015","UWX.raw.2016","UWX.raw.2017","UWX.raw.2018","UWX.raw.2019","UWX.raw.2020","UWX.raw.2021"
36,"AUS","Australia",1.4488615645433,1.44480542406516,1.44011520851807,1.43030664016506,1.42067088055694,1.40852527534108,1.3959312153837,1.38077832040166,1.36651621588258,1.35159426882494,1.33669801347788,1.31848636542454,1.31466853567395,1.31789217432119,1.31931700367732,1.32096776029319,1.32902850630619,1.33302092568436,1.32998766067558,1.32235459693701,1.31369805174695,1.30804899927252,1.31152877544348,1.31088347673588,1.31150013868235,1.31000261897877,1.30630550652297,1.30323934181012,1.29885319286575,1.29388782865736,1.29058423174552,1.28746629483457
40,"AUT","Austria",1.31328488339899,1.30345129424672,1.27817420040854,1.25093846782228,1.22138948935328,1.19679131507727,1.17489960138531,1.15434289473414,1.13708977769654,1.1224865685906,1.10911918299445,1.0981835368682,1.09595591356637,1.09419512111453,1.09274121914537,1.09071529780094,1.0886775859836,1.086939713047,1.08527733735926,1.08373441003164,1.08224136086325,1.08029675387234,1.07877700346974,1.07780437138289,1.07678311487406,1.07610918381793,1.07533113093778,1.07444193889168,1.07373817147813,1.07303882433346,1.07272351992985,1.07241432716883
31,"AZE","Azerbaijan",3.57632098252944,3.53406745330728,3.51122988246492,3.50391400207653,3.5077034207915,3.52728995069914,3.56140742090014,3.60204396043348,3.64629613113463,3.6856560666655,3.71034598783304,3.71592840533612,3.70480784735161,3.68539980949635,3.66256760523053,3.60872195294857,3.52779362820272,3.4343959128388,3.35943297177753,3.29732290942964,3.23678441414847,3.17193876255499,3.12588515665505,3.07516458441768,3.02484913660182,2.98135399742378,2.95303555676825,2.93132507788487,2.91946346587685,2.89972501999682,2.88572842337282,2.87272556932452
44,"BHS","Bahamas",4.29979427156194,4.35982707143342,4.42421905572524,4.38952191958764,4.33342395021983,4.29173149384848,4.26183065035168,4.2214456973552,4.16154584992158,4.09606248253467,4.03215148684514,4.02806796387498,4.04669581608284,4.05829601713227,4.06146523832792,4.04963211650556,4.04736544628807,4.05836517272925,4.06734835356724,4.0792712718396,4.07974801266745,4.09634658920344,4.11719645811685,4.13486110585411,4.14172755632083,4.13867068094574,4.13890648685799,4.12438702779659,4.10930004645496,4.09459630962594,4.08752207116056,4.08042770892047
48,"BHR","Bahrain",2.78757690930607,2.74958639714869,2.72515457118904,2.70301868958992,2.689619622972,2.66581491099157,2.63681007820114,2.62350433412429,2.61440133164361,2.59626829134906,2.56868315017485,2.53823144538092,2.51487455323838,2.48970016925721,2.46034798931717,2.42783474315302,2.40810788028211,2.3976015109389,2.38014381491985,2.37656103053613,2.38285082196878,2.38345750997569,2.37789678018991,2.35944278474438,2.3350960545143,2.32833776799577,2.3192339012792,2.31079109181909,2.30479900557634,2.28435245346122,2.26936567044358,2.25712617140759
50,"BGD","Bangladesh",8.684162429691,8.66822415489802,8.65347716238385,8.63899102662834,8.62439742473702,8.61036072924812,8.5959142299936,8.58359478839018,8.57143189960212,8.55754659529938,8.54487510396116,8.53202613360096,8.51847034988148,8.50443704050389,8.49151044354238,8.47811811134126,8.46424124781756,8.44744296286323,8.42681453143049,8.40658564627865,8.38600871914535,8.36501839109539,8.3497982868967,8.33054461621668,8.31215586487348,8.29190669499489,8.27098896797997,8.24759939951528,8.2244884172761,8.2022419744265,8.17964513111101,8.15758368231143
52,"BRB","Barbados",3.32828889870526,3.34248149815149,3.33590475686602,3.32944418876534,3.32528039250256,3.32404040774695,3.32544042144609,3.32272728965257,3.31903788299565,3.31488553244344,3.30569969779777,3.35158585579008,3.38864343860071,3.41158947072299,3.43755838586954,3.47035066043852,3.50556827618734,3.53618978925211,3.56811356210214,3.60901650938989,3.64463627666612,3.68406055222545,3.72046517363885,3.75438152263687,3.78782475650855,3.79518764944688,3.80356479631915,3.79425485282333,3.78375873474305,3.77226946207417,3.76481727670138,3.75685497179899
112,"BLR","Belarus",3.26047813984979,3.22180212287916,3.16664799536269,3.1049267165518,3.06223831873183,3.02833385773405,2.99665392665905,2.97613054467524,2.97162276798247,2.95461133692599,2.87608211691025,2.78055280050136,2.68633320574597,2.59932638171474,2.50958581480135,2.43403250456956,2.39245254519947,2.34767485251206,2.29483676429405,2.23806320477719,2.18451675475147,2.15215844496015,2.12467961968928,2.09569693098714,2.06708556814848,2.04384256576056,2.03121465538709,2.01655200268221,2.00164738896748,1.98654148842552,1.97721035458251,1.96803316737108
56,"BEL","Belgium",1.14557108177485,1.1426013497242,1.13416181807261,1.12616474428781,1.11863357601972,1.11215336067233,1.106376973839,1.10045877010978,1.09519352569579,1.09071864087947,1.086398733336,1.08181805648405,1.07966726093662,1.07826407137822,1.07678448907247,1.07522671322522,1.07368175954601,1.07205661948138,1.07029924266404,1.0683765703922,1.06624305160975,1.06392233975924,1.06241209147986,1.06140408787588,1.06064211417072,1.05985079909482,1.0589826814621,1.05816224591921,1.05735046666812,1.05657496506616,1.05610351415288,1.05567844544229
84,"BLZ","Belize",7.30494346955786,7.23417570232444,7.18077597738134,7.13021642936929,7.08708408391909,7.05057954211095,7.0282749026225,7.01449631183534,7.00844331106631,7.00565202342794,7.00999474413974,7.02513425473063,7.04789095097082,7.06805794590508,7.08819640637786,7.10999605755134,7.13572792809804,7.16813241627455,7.20222043852672,7.23586950571632,7.26532807774919,7.28232716071418,7.2745857464371,7.27278603235715,7.24149725879702,7.21391258106246,7.18751982514565,7.15931549767349,7.13023233503163,7.10113873810952,7.08553732419371,7.06831322718451
204,"BEN","Benin",9.10813179934357,9.07700655388765,9.04255981124743,9.00761549474896,8.97345502758197,8.93615224485087,8.8971037117435,8.8478381684917,8.80151862455501,8.75324448623909,8.70473903470717,8.65952584410083,8.6454915974879,8.63080733115753,8.61001543805934,8.58730201781972,8.56334982746853,8.56198157411119,8.54078874232545,8.51423081628692,8.48399216479934,8.44888460990057,8.41547285291936,8.38039778094145,8.33971301525871,8.31217026467864,8.27132847417645,8.26153492291803,8.20683832737139,8.14504409355053,8.08016869942126,8.01624589861961
60,"BMU","Bermuda",4.46849840437706,4.4650776841014,4.45848913302455,4.45189931143666,4.44910010173444,4.44354976018609,4.44207901301803,4.431262627067,4.41907008753628,4.40162237248499,4.37585035387469,4.35140037271961,4.33312646964876,4.31970876567351,4.31028808796098,4.30759435829046,4.30652576900656,4.30445265364624,4.3098741594511,4.32391920793038,4.33063912233409,4.36017093194385,4.38655380072504,4.40874728627374,4.41625575478687,4.41812378571428,4.43612030166479,4.41700623310106,4.39750259287817,4.37819118437035,4.36398413262308,4.34965503957149
64,"BTN","Bhutan",5.88156210539383,5.80581060425641,5.70051338001054,5.57475408955267,5.4307691777402,5.28601975011251,5.12011705063709,4.94076431783976,4.75592781484823,4.55242253924838,4.35004703227405,4.16342512085061,3.96186184211867,3.77344119819432,3.58559917909834,3.39699795368729,3.25296446137261,3.08868700045404,2.91478098605486,2.75862146389728,2.61834120358902,2.51594524560252,2.40875806911852,2.28963472304949,2.18678300720872,2.08386517057439,1.98764349033575,1.90275581600321,1.88543161289369,1.86697815879617,1.84495898553901,1.82439302134711
68,"BOL","Bolivia",3.79601516080348,3.73720460479022,3.69973406418681,3.6661701137432,3.62649927331973,3.58795403669519,3.58459641664254,3.53253961150836,3.48006189155525,3.43302803201296,3.38380677365104,3.34709401093591,3.30411786303329,3.25581548694049,3.21140942081136,3.1685224288052,3.11775876050339,3.07249983737496,3.03472431610672,3.00891952632402,2.98426322744549,2.95914865564086,2.93158805300633,2.90210415067382,2.86856960032933,2.82928458083736,2.7862840377531,2.74035774918443,2.71091648179961,2.68300159047027,2.66252713922394,2.64381433793418
70,"BIH","Bosnia and Herzegovina",3.1978267480562,3.17003470454841,3.17113614136545,3.16322640979024,3.12778538032341,3.05276267337189,2.85274949815166,2.65182539044226,2.49553810116114,2.37075070013164,2.27947001749043,2.19869733296912,2.12984273697756,2.08997139950935,2.05713707081942,2.04926971915767,2.04470656771547,2.02497580075184,2.00889302916952,1.99824091620267,1.99246672933132,1.98910656839449,1.97383632247078,1.95989912158497,1.94665153681811,1.93302476140562,1.9172395663532,1.90218672956044,1.88445533384077,1.86731761582313,1.85612855237248,1.84512655308288
