"iso","country","code","Series.Name","Series.Code","X1996..YR1996.","X1998..YR1998.","X2000..YR2000.","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","X2015..YR2015.","X2016..YR2016.","X2017..YR2017.","X2018..YR2018.","X2019..YR2019.","X2020..YR2020.","X2021..YR2021."
"LBN","Lebanon",422,"Government Effectiveness: Estimate","GE.EST","-0.128497436642647","0.0239137783646584","0.0260655991733074","-0.207287535071373","-0.136932387948036","-0.156535685062408","-0.110049694776535","-0.153624713420868","-0.217762872576714","-0.31451028585434","-0.384471654891968","-0.133641436696053","-0.132695227861404","-0.231662377715111","-0.299645811319351","-0.248904824256897","-0.364741653203964","-0.44288957118988","-0.423257857561111","-0.642591893672943","-0.780926525592804","-1.18356895446777","-1.28703927993774"
"LSO","Lesotho",426,"Government Effectiveness: Estimate","GE.EST","-0.124192699790001","-0.0990643203258514","-0.14284160733223","0.0323283895850182","0.0484873279929161","-0.511967778205872","-0.171368718147278","-0.529728055000305","-0.465316534042358","-0.46368619799614","-0.396180033683777","-0.395948141813278","-0.376064658164978","-0.424930244684219","-0.456048637628555","-0.592783272266388","-0.72003185749054","-0.836329400539398","-0.885353147983551","-0.890175104141235","-0.874868810176849","-0.95079517364502","-0.913774907588959"
"LBR","Liberia",430,"Government Effectiveness: Estimate","GE.EST","-1.7195029258728","-1.73102784156799","-1.79194414615631","-1.53170728683472","-1.42792940139771","-1.42302489280701","-1.42768323421478","-1.22016155719757","-1.176877617836","-1.23454749584198","-1.20034039020538","-1.26215839385986","-1.231769323349","-1.16732215881348","-1.37312722206116","-1.3457590341568","-1.34236931800842","-1.28812253475189","-1.34283447265625","-1.30888867378235","-1.3738968372345","-1.4346170425415","-1.37698519229889"
"LBY","Libya",434,"Government Effectiveness: Estimate","GE.EST","-0.884026408195496","-0.933607459068298","-1.07503414154053","-1.03007936477661","-0.929176092147827","-0.863446056842804","-1.05012738704681","-1.07831382751465","-1.22651791572571","-1.13037168979645","-1.08278250694275","-1.0851081609726","-1.05057597160339","-1.2741847038269","-1.3228075504303","-1.51752257347107","-1.45964801311493","-1.7214697599411","-1.57775521278381","-1.66174829006195","-1.75157129764557","-1.8408727645874","-1.72276699542999"
"LIE","Liechtenstein",438,"Government Effectiveness: Estimate","GE.EST","1.67040944099426","1.65375971794128","1.63437485694885","1.6342796087265","1.60577046871185","1.70099198818207","1.55287110805511","1.79659700393677","1.75629019737244","1.78527987003326","1.79832303524017","1.7779403924942","1.76428031921387","1.78042709827423","1.7469562292099","1.69911313056946","1.68451058864594","1.69888150691986","1.75941026210785","1.73070681095123","1.68949031829834","1.81459259986877","1.51467216014862"
"LTU","Lithuania",440,"Government Effectiveness: Estimate","GE.EST","0.527473866939545","0.309278875589371","0.0986325070261955","0.494154572486877","0.733195126056671","0.694563508033752","0.758438646793365","0.71862655878067","0.656960010528564","0.561311006546021","0.6891028881073","0.737868845462799","0.698012173175812","0.827294707298279","0.827008485794067","0.978460311889648","1.1813200712204","1.06513559818268","0.961367905139923","1.06573235988617","1.03744518756866","1.05077922344208","1.05660545825958"
"LUX","Luxembourg",442,"Government Effectiveness: Estimate","GE.EST","1.95973467826843","1.96349668502808","1.89046895503998","1.97525644302368","1.85520005226135","1.87686252593994","1.7715892791748","1.56645476818085","1.58543980121613","1.61611378192902","1.74331271648407","1.71621596813202","1.74244427680969","1.6633061170578","1.62275099754333","1.64849925041199","1.71947491168976","1.68542158603668","1.67782378196716","1.7697936296463","1.72629404067993","1.83270716667175","1.71904325485229"
"MAC","Macao",446,"Government Effectiveness: Estimate","GE.EST","0.388550758361816","0.401742517948151","0.618822574615479","0.834610283374786","1.34845733642578","1.18215930461884","1.2872017621994","1.02090764045715","0.991009831428528","1.01299834251404","1.34552228450775","1.34995090961456","1.32596099376678","1.08678269386292","1.05875933170319","1.46300411224365","1.44590151309967","1.17693638801575","1.37606763839722","1.19737100601196","1.16319942474365","1.1213675737381","1.13221418857574"
"MDG","Madagascar",450,"Government Effectiveness: Estimate","GE.EST","-0.448235422372818","-0.546766698360443","-0.599425613880157","-0.324264049530029","-0.422788172960281","-0.595229208469391","-0.381986796855927","-0.659551501274109","-0.49857959151268","-0.685391068458557","-0.838610649108887","-0.993760526180267","-1.0683069229126","-1.118368268013","-1.14832305908203","-1.3272420167923","-1.30359840393066","-1.19897043704987","-1.17119324207306","-1.18830335140228","-1.17265474796295","-1.02806007862091","-1.00036108493805"
"MWI","Malawi",454,"Government Effectiveness: Estimate","GE.EST","-0.286933869123459","-0.340585500001907","-0.357144564390183","-0.765085935592651","-0.782055020332336","-0.862955927848816","-0.831709444522858","-0.8982173204422","-0.573404133319855","-0.588244140148163","-0.539876818656921","-0.471515417098999","-0.475620746612549","-0.512557029724121","-0.51183557510376","-0.659877240657806","-0.71234267950058","-0.763381361961365","-0.698232054710388","-0.774941504001617","-0.776979148387909","-0.797247529029846","-0.768746435642242"
