"code","iso","country","PEP.raw.1999","PEP.raw.2000","PEP.raw.2001","PEP.raw.2002","PEP.raw.2003","PEP.raw.2004","PEP.raw.2005","PEP.raw.2006","PEP.raw.2007","PEP.raw.2008","PEP.raw.2009","PEP.raw.2010","PEP.raw.2011","PEP.raw.2012","PEP.raw.2013","PEP.raw.2014","PEP.raw.2015","PEP.raw.2016","PEP.raw.2017","PEP.raw.2018","PEP.raw.2019","PEP.raw.2020","PEP.raw.2021","PEP.raw.2022"
524,"NPL","Nepal",0.00133833026649906,0.00134450519912762,0.00133797122920595,0.00123507976489385,0.00118586457845573,0.00110486769667364,0.00111535485240696,0.00108830693340964,0.00108490017069503,0.00115600899981737,0.00131018614703047,0.00144943347129257,0.00160153214955787,0.00167850782013875,0.00180798011629854,0.00194799153518174,0.00191124001636158,0.00209201074815738,0.00224735251013303,0.00235994311810261,0.0024898773646687,0.00247224193636523,0.00246554299110028,0.0023942344933619
528,"NLD","Netherlands",0.013676486028344,0.0144662151871295,0.0156136837085403,0.015163091603827,0.0139587740451356,0.0135090407718845,0.0123921998184565,0.0119882487956277,0.0112801210296305,0.010360300211325,0.00842059343656215,0.00974870510168667,0.00808513190397034,0.00797527351437806,0.00789479955071704,0.00808763906895884,0.00854108197280227,0.00924435458207963,0.0108437410114883,0.0116068665907828,0.00979689665025632,0.00803991007746842,0.00751571997559486,0.00621866754238363
540,"NCL","New Caledonia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
554,"NZL","New Zealand",0.021345595313747,0.021480217709612,0.021647199228137,0.0211241809943415,0.0206523465593121,0.0201599411315986,0.0192445628392343,0.0180869214517951,0.0176717977211705,0.0161794965555014,0.0149936531853609,0.0139483894991637,0.0133768756086754,0.0147001935782013,0.0150775760889223,0.0168408145917534,0.0173041497601568,0.0173971649152948,0.0176285632285458,0.0176158198821905,0.0174067183247519,0.014337498777087,0.0118482208923656,0.0107395595171534
558,"NIC","Nicaragua",0.00212237211302388,0.00250990204944302,0.00253347791264875,0.00268816559047679,0.00303864849773853,0.00312561856232398,0.00312127886381361,0.00297365067999269,0.00284944989898864,0.00253690777398969,0.00244652438394182,0.00239289638543815,0.00260519086309879,0.00270421379985969,0.00288273290264946,0.00313037365697674,0.00354742763881332,0.00382560479097726,0.0038745718361822,0.00384303802112861,0.0038693777550711,0.0035298571716658,0.00359003025667933,0.00370107687093372
562,"NER","Niger",0.000520477689612107,0.000532540947686683,0.000549416685220033,0.000564394226860821,0.00058825985940172,0.000610557289589538,0.000630281137259196,0.000652307880314093,0.00068375020334214,0.000725128032687016,0.000771903522816605,0.00076376390708729,0.000773086376718096,0.000821159734621568,0.000882447004955957,0.00094838345548036,0.000996433599077119,0.00105475403943039,0.00111061932277315,0.00118747248182591,0.00126040586722293,0.00130929387734304,0.0013436516298273,0.0013253567402537
566,"NGA","Nigeria",0.00171013028254353,0.00161874997069677,0.00147691646093541,0.0011342305521648,0.00108167933157388,0.00100368668686823,0.00101609681002922,0.00107807522068952,0.00102456525482503,0.000875271193850929,0.000532201453000021,0.000769343976278208,0.00108181199186878,0.00110567331790362,0.00119733660102187,0.0013956862046586,0.00148648607673643,0.0015349344121859,0.00162939097629278,0.00171526065154978,0.00163904109673573,0.00162751707857814,0.00175040207818949,0.00188458222957375
570,"NIU","Niue",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
408,"PRK","North Korea",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
807,"MKD","North Macedonia",0.00598003081290596,0.00936935152460274,0.0103575483691635,0.00902575709153718,0.0080093478179685,0.00736322369126158,0.00673957105069443,0.00631333904745785,0.00371585260797702,0.00371856553774003,0.00164531406971821,0.00154192261924948,0.00299800497959942,0.00219088855283885,0.00119913898812707,0.00115350942696128,0.0012502989939455,0.00132037611389718,0.00200772074028649,0.00217433738164253,0.00303402971351222,0.00196622133613669,0.00337440885840233,0.00473794057213343
