"code","iso","country","BLC.raw.2000","BLC.raw.2001","BLC.raw.2002","BLC.raw.2003","BLC.raw.2004","BLC.raw.2005","BLC.raw.2006","BLC.raw.2007","BLC.raw.2008","BLC.raw.2009","BLC.raw.2010","BLC.raw.2011","BLC.raw.2012","BLC.raw.2013","BLC.raw.2014","BLC.raw.2015","BLC.raw.2016","BLC.raw.2017","BLC.raw.2018","BLC.raw.2019","BLC.raw.2020","BLC.raw.2021","BLC.raw.2022"
36,"AUS","Australia",1.20054085834664e-06,1.19739123744379e-06,1.22126367425565e-06,1.23968584924227e-06,1.1999593527779e-06,1.20581928064478e-06,1.17001281261604e-06,1.18546841826991e-06,1.20284752036883e-06,1.14198363652087e-06,1.13111908360926e-06,1.09704114198848e-06,1.10899488407453e-06,1.11303984082363e-06,1.086391719659e-06,1.04843272058905e-06,1.03861535576423e-06,1.04392288775287e-06,1.05477474672139e-06,9.98773229892211e-07,9.60278228059329e-07,1.0043631535197e-06,9.84996358521121e-07
40,"AUT","Austria",7.97717292135412e-07,8.35120123778544e-07,8.1404850355496e-07,8.62373031632704e-07,8.74138080212223e-07,8.71647768052646e-07,8.62883315052983e-07,8.34691583746518e-07,8.0227746935151e-07,7.64600589168828e-07,7.67680672920342e-07,7.17461143943203e-07,6.91678747735593e-07,6.29571533247186e-07,5.66628280383862e-07,5.52498307282816e-07,5.25049290098876e-07,5.09897732439272e-07,4.71041088452886e-07,4.44889925724099e-07,4.1176761188786e-07,4.25868925694413e-07,4.03085467423684e-07
31,"AZE","Azerbaijan",6.015426139596e-07,5.59467821583381e-07,5.63389695614112e-07,5.63382154368704e-07,6.21993479410001e-07,6.46117763886498e-07,6.26307769639029e-07,5.68671886689389e-07,6.26032105801784e-07,5.72701093031933e-07,6.14203134513353e-07,6.50013442537503e-07,6.61536602881811e-07,7.03559819649895e-07,6.86574659872531e-07,6.2673837935024e-07,5.82934064085773e-07,6.28211133400553e-07,6.61358805306699e-07,6.54192946062531e-07,6.04133481918816e-07,6.08533615929342e-07,6.31013680076176e-07
44,"BHS","Bahamas",2.78815864103976e-07,2.69345550448415e-07,2.32545938793673e-07,2.22764803825183e-07,2.34228548578316e-07,2.27789410364517e-07,2.30216518195403e-07,2.34470287266496e-07,1.94088845741418e-07,2.63767917725007e-07,3.5940183704991e-07,1.7672285675043e-07,1.92566802115813e-07,1.86829829360749e-07,1.80754433756873e-07,1.82799713162343e-07,1.81260562456122e-07,1.8424200147046e-07,1.84282873354714e-07,1.86868892492499e-07,1.63233388395629e-07,1.65895601570335e-07,1.69183817668333e-07
48,"BHR","Bahrain",8.27571065307986e-07,8.20648406499284e-07,9.97823394833718e-07,1.08798034248292e-06,1.17392263153909e-06,1.4777510478726e-06,1.41136172963041e-06,1.48743558065162e-06,1.57661095922949e-06,1.37245672561455e-06,1.25295573125552e-06,1.12676904624979e-06,1.09457854168859e-06,1.01616059657954e-06,9.47214548682667e-07,9.7253310374983e-07,9.93294298887016e-07,1.008496332829e-06,9.34726935054271e-07,8.30734015488218e-07,7.87187363778604e-07,7.66053461367121e-07,8.20391638583207e-07
50,"BGD","Bangladesh",2.53128683697598e-07,2.62142347862649e-07,2.62568554215024e-07,2.61839226606427e-07,2.63854089469976e-07,2.68287512139493e-07,2.67536573107346e-07,2.66810850581613e-07,2.67342809600312e-07,2.66596493865066e-07,2.6947319055066e-07,2.75447845834525e-07,2.73623615662749e-07,2.66500538686868e-07,2.63417226952039e-07,2.6271859973162e-07,2.62442457557994e-07,2.63590201461174e-07,2.60362117544454e-07,2.55331849067665e-07,2.45227655146753e-07,2.48920303407121e-07,2.49351202243863e-07
52,"BRB","Barbados",2.82835282588101e-07,2.9188031059782e-07,2.59573200952e-07,2.60192248883851e-07,2.5662101031928e-07,2.63987954800059e-07,2.75229937043453e-07,2.88158694438956e-07,3.28625144156535e-07,3.40973766264862e-07,3.32790842350347e-07,2.21914010416794e-07,2.39650409432601e-07,2.35532251044648e-07,2.31226559989188e-07,2.34109319090596e-07,2.33200449754907e-07,2.36877506846589e-07,2.37480171943387e-07,2.40651973017296e-07,2.16069506274858e-07,2.18745240743123e-07,2.22802117180996e-07
112,"BLR","Belarus",6.82098608382516e-07,6.70558917750851e-07,6.89255219650419e-07,7.023919795375e-07,7.25271164310927e-07,8.1389805643718e-07,9.17893189362838e-07,9.26940398044613e-07,1.04201513315829e-06,9.63275127630902e-07,1.02468216135495e-06,1.0889662411305e-06,1.13041115109872e-06,1.0955264679785e-06,1.01785082703269e-06,8.94843930976585e-07,8.85808958560359e-07,9.2167249188681e-07,9.44519574574511e-07,9.27129490325283e-07,8.62888842249858e-07,8.7861080643149e-07,9.60882371232096e-07
56,"BEL","Belgium",8.3689813244771e-07,8.91231904903035e-07,7.78340114973881e-07,7.7927699726693e-07,7.81576512597919e-07,7.44918940039592e-07,6.99270517371375e-07,6.5365067025296e-07,6.70665880716214e-07,6.36448770750851e-07,6.62664815276466e-07,5.60418644017006e-07,5.47972326032755e-07,5.39068038270633e-07,4.63676001291719e-07,4.55324383946352e-07,4.35189641048449e-07,4.0423371815369e-07,3.75084296736158e-07,3.48348465931629e-07,3.10454047279281e-07,3.05909278986693e-07,2.90210309309737e-07
84,"BLZ","Belize",3.84428556436739e-07,3.83288487146846e-07,3.13317800525078e-07,3.08408131366995e-07,3.01041336106983e-07,2.93952775328143e-07,2.9418268825044e-07,2.9334852575426e-07,2.90578137595318e-07,2.96418584596555e-07,3.10571884089983e-07,2.62389876916011e-07,2.70625184810121e-07,2.69398204396151e-07,2.67867728680965e-07,2.64851501752838e-07,2.59704275617359e-07,2.59015392729671e-07,2.55331928125819e-07,2.52757590008887e-07,2.3865551967677e-07,2.37300091602082e-07,2.3510536495676e-07
204,"BEN","Benin",6.9911010726384e-07,7.01380251865503e-07,7.11450717268992e-07,7.12460384452133e-07,7.12887990679304e-07,7.0006712255662e-07,7.71734085494116e-07,8.17301178313513e-07,8.09961107135137e-07,8.30466593516599e-07,7.21479819370342e-07,7.17753427033895e-07,7.14546327217093e-07,7.80078088105827e-07,7.87434281845525e-07,8.05492299822874e-07,8.0659262414656e-07,7.91403728393613e-07,8.2660203453537e-07,8.23363296214978e-07,8.25467873622854e-07,6.72420409296629e-07,6.54504344500374e-07
60,"BMU","Bermuda",4.12591260533329e-07,4.16450804591586e-07,3.68724879205834e-07,3.53389443743231e-07,4.1462590037436e-07,3.18913993520526e-07,3.73148348803876e-07,3.76203459489909e-07,3.28794961721418e-07,3.84770271240077e-07,4.0349918778576e-07,2.13160338584053e-07,2.32723340545373e-07,2.26877851215934e-07,2.21320155736911e-07,2.24368012127837e-07,2.26051098841987e-07,2.32181911945003e-07,2.32899711634615e-07,2.37026304261e-07,2.08795811206768e-07,2.12815398123967e-07,2.13072835252171e-07
