"code","iso","country","PIA.raw.1992","PIA.raw.1993","PIA.raw.1994","PIA.raw.1995","PIA.raw.1996","PIA.raw.1997","PIA.raw.1998","PIA.raw.1999","PIA.raw.2000","PIA.raw.2001","PIA.raw.2002","PIA.raw.2003","PIA.raw.2004","PIA.raw.2005","PIA.raw.2006","PIA.raw.2007","PIA.raw.2008","PIA.raw.2009","PIA.raw.2010","PIA.raw.2011","PIA.raw.2012","PIA.raw.2013","PIA.raw.2014","PIA.raw.2015","PIA.raw.2016","PIA.raw.2017","PIA.raw.2018","PIA.raw.2019","PIA.raw.2020","PIA.raw.2021"
204,"BEN","Benin",0.0011499304182231,0.00104372665348275,0.000878927708196001,0.0013037427671574,0.0014282575258185,0.0022119680656266,0.0018603969823482,0.00201054713249835,0.00214971068629605,0.0023364828242877,0.00246465978173295,0.0026587563172929,0.00265509411850875,0.00240606460118655,0.00254522815498425,0.0027393246905442,0.00269904050391855,0.00329391891891892,0.00320945945945946,0.00345549353701528,0.00428843477623965,0.0039698234820186,0.00428843477623965,0.00495495495495495,0.00434702995678605,0.00758441368197466,0.00604629019263166,0.00844503039624991,0.00776019922361386,0.0156668863985937
60,"BMU","Bermuda",0.347826086956522,0.350724637681159,0.350724637681159,0.353623188405797,0.353623188405797,0.353623188405797,0.353623188405797,0.350724637681159,0.350724637681159,0.350724637681159,0.353623188405797,0.344927536231884,0.353623188405797,0.350724637681159,0.350724637681159,0.353623188405797,0.353623188405797,0.35,0.35,0.35,0.350724637681159,0.353623188405797,0.353623188405797,0.353623188405797,0.353623188405797,0.353623188405797,0.353623188405797,0.353623188405797,0.133333333333333,0.353623188405797
64,"BTN","Bhutan",0.000605779393189493,0.000386667697780527,0.000438223390817931,0.000618668316448844,0.000580001546670791,0.000940891397932617,0.000902224628154564,0.00135333694223185,0.00163689325393757,0.00189467171912458,0.00248756218905473,0.00195911633542134,0.00257778465187018,0.00242311757275797,0.00246178434253602,0.00305467481246617,0.00306756373572552,0.00306229245539002,0.00301060819453956,0.0040830566071867,0.00462712345010698,0.00661201763204702,0.00645735055293481,0.0084551336581342,0.00586446008300467,0.00778490964864795,0.0076946871858325,0.00863557858376511,0.00674090686464053,0.00730801948805197
68,"BOL","Bolivia",0.00154472729038445,0.00179358316034816,0.00194749227853128,0.00185471326080962,0.00183867202877363,0.00241398864801028,0.00216990179297619,0.00217206952703511,0.00214692381195167,0.00207712277525454,0.00233855150275996,0.00224880731272078,0.00218767721225932,0.00212568001817428,0.00249246062094309,0.00239577968191538,0.00235632692204308,0.00263249624114914,0.00256356229807557,0.00288612112604246,0.00337472838292242,0.00416811904848614,0.00418199254646321,0.00454833960242023,0.00600332270276551,0.00530227750811166,0.0048899744901056,0.00586372062937124,0.00592355008939735,0.00698053721652542
70,"BIH","Bosnia and Herzegovina",0.00248984144689666,0.00261599341353943,0.00424268982551191,0.0109486627891536,0.0223554564045362,0.0345058826653919,0.048960242211776,0.0515629564709319,0.0614492869094096,0.0728029639072584,0.0726037765915067,0.0687329030887313,0.0461981781000186,0.0767734310679096,0.059802671765862,0.0578838339574536,0.0707380554006321,0.0808766897723953,0.0735001195123895,0.0771186890818793,0.109015217910923,0.0632818102143256,0.0641914322895918,0.0638328951212387,0.0695296523517382,0.0936645154436565,0.0952513743924787,0.109685815207288,0.0933126178524952,0.120621198842058
72,"BWA","Botswana",0.000530574130184934,0.000602405704733048,0.00060322197262564,0.000773821962177411,0.000826063107303312,0.000859530090899592,0.000981970274788423,0.0010782898861143,0.00123419705359941,0.00132480278967715,0.00141132718629192,0.00157131569324,0.00151907454811409,0.00151172813708076,0.00171906018179918,0.0016864094660955,0.00157213196113259,0.00173058353776293,0.00161396080171199,0.00156665927240461,0.00206760657193606,0.00437356336850904,0.0026389940967506,0.00307079981193188,0.00278755485320238,0.00424622557726465,0.00299243809424303,0.00351484954550204,0.00389033277609445,0.00599630393898234
76,"BRA","Brazil",0.00550027436188151,0.00542705062794349,0.0051332017849875,0.00709829604918891,0.00705927670213384,0.00884480929123786,0.00875355216873074,0.00943091713180999,0.0099052361329147,0.00878989149078435,0.00929359991859992,0.0097941286557358,0.00970818615907902,0.00941588173731031,0.0110218526513169,0.0107385876359091,0.0105715630269202,0.0116986611564541,0.0113181529883635,0.0119948896049258,0.0152731899383685,0.0137804160125589,0.0145781095557881,0.014902074611896,0.0145016607070179,0.0173304952322809,0.0171108694546195,0.018304661608233,0.0187479559131345,0.0201495635647421
92,"VGB","British Virgin Islands",0.0264477884176927,0.0296397628818969,0.0319197446420429,0.0369357045143639,0.0378476972184223,0.0414956680346557,0.0424076607387141,0.0419516643866849,0.0392156862745098,0.0401276789785682,0.0428636570907433,0.0414956680346557,0.0433196534427725,0.0405836753305974,0.0424076607387141,0.0419516643866849,0.0424076607387141,0.0433333333333333,0.040952380952381,0.0419047619047619,0.0405836753305974,0.0383036935704514,0.0383036935704514,0.0369357045143639,0.0355677154582763,0.034655722754218,0.0282717738258094,0.0351117191062471,0.032375740994072,0.0373917008663931
96,"BRN","Brunei Darussalam",0.0337719298245614,0.0452302631578947,0.043859649122807,0.059484649122807,0.0655701754385965,0.0660635964912281,0.065405701754386,0.0616228070175439,0.0609100877192982,0.0614035087719298,0.0651864035087719,0.0644188596491228,0.0679824561403509,0.0615679824561403,0.0653508771929825,0.0667763157894737,0.0669407894736842,0.0766004415011037,0.0784216335540839,0.0840507726269316,0.0825109649122807,0.0850877192982456,0.0871710526315789,0.090844298245614,0.0856359649122807,0.0934210526315789,0.0928728070175439,0.0973684210526316,0.093640350877193,0.106578947368421
100,"BGR","Bulgaria",0.0320464426105745,0.0322100776894727,0.0226560204692608,0.0394434919725837,0.0313733073996526,0.0290377885462883,0.0399269592511464,0.0341588227199869,0.052366944226471,0.0544830433149492,0.0742866068406901,0.0424149562462113,0.0398562986488949,0.0500797721009628,0.0428612337341153,0.045438486226761,0.0583024348155944,0.054450378282154,0.0545319685506601,0.055511051772734,0.076551465091803,0.0525863639913571,0.0586036721199296,0.0531330539140395,0.0553681603326255,0.08769352637314,0.0754246144348453,0.0917844033455936,0.0708316752884998,0.0865146100092603
854,"BFA","Burkina Faso",0.000575755271419726,0.000529198241385786,0.000515231132375604,0.000628519905458191,0.000701459252511364,0.000896998778653912,0.000921829194672014,0.000991664739722923,0.00109098640379533,0.00113754343382927,0.00116547765184963,0.00117789285985868,0.00110650541380664,0.00112978392882361,0.00121513848388584,0.00125393600891412,0.00126014361291864,0.00157584226051855,0.0016115510013973,0.00169073125291104,0.00206713213350694,0.00257925946388028,0.00210282585653296,0.00265995831593911,0.00251407962183276,0.00339711129147649,0.00348401774753985,0.00382543596778874,0.00395269184988151,0.00556356508905584
108,"BDI","Burundi",0.00201758178411875,0.00199956766104626,0.00181942643032137,0.00198155353797377,0.00154921458423404,0.00180141230724888,0.00187346879953884,0.00187346879953884,0.00230580775327857,0.00190949704568382,0.00223375126098862,0.00108084738434933,0.00214368064562617,0.0022517653840611,0.00380097996829514,0.00295431618388817,0.00263006196858337,0.00307664464754321,0.00287756764093747,0.00309474255723464,0.00362083873757026,0.00637699956766105,0.00367488110678772,0.0100158524283038,0.00374693759907768,0.00234183599942355,0.00416126242974492,0.00425133304510736,0.00641302781380602,0.00814238362876495
132,"CPV","Cabo Verde",0.000725952813067151,0.000670956387834791,0.000747951383160095,0.00094593851399659,0.00102293350932189,0.00119892207006545,0.00125391849529781,0.00136391134576253,0.00157289776164549,0.00184787988780729,0.00188087774294671,0.00185887917285376,0.00178188417752846,0.00183688060276082,0.00206786558873673,0.00197987130836496,0.00191387559808612,0.00229885057471264,0.00223285486443381,0.0024748391354562,0.00284881482703624,0.00206786558873673,0.00294780839245449,0.00225485343452676,0.00232084914480559,0.00390474619149755,0.00422372545784524,0.00496067755595886,0.00360776549524281,0.00489468184568003
116,"KHM","Cambodia",0.000269517013261462,0.00039815013322716,0.000272579706593979,0.000477780159872592,0.000563535573183057,0.00081467642644942,0.00100456341306545,0.00101068879973048,0.00110869498637101,0.0012158892530091,0.00142721509295274,0.00203056567945852,0.00204894183945362,0.00190499525282533,0.00168754402621665,0.00200606413279838,0.00208875685277633,0.00198071171336141,0.00419642312152841,0.00457486418848807,0.0042020152522128,0.00630302287831919,0.00340265229242596,0.0038528682123059,0.00421732871887538,0.00558635263851031,0.00656947719824814,0.00898287954427123,0.0107500535971333,0.0149091911426909
