"code","iso","country","GHN.raw.1999","GHN.raw.2000","GHN.raw.2001","GHN.raw.2002","GHN.raw.2003","GHN.raw.2004","GHN.raw.2005","GHN.raw.2006","GHN.raw.2007","GHN.raw.2008","GHN.raw.2009","GHN.raw.2010","GHN.raw.2011","GHN.raw.2012","GHN.raw.2013","GHN.raw.2014","GHN.raw.2015","GHN.raw.2016","GHN.raw.2017","GHN.raw.2018","GHN.raw.2019","GHN.raw.2020","GHN.raw.2021","GHN.raw.2022"
170,"COL","Colombia",178242.515757576,169585.321818182,153718.332121212,144439.28969697,145786.187272727,148241.63030303,161323.009090909,176685.391515152,195793.995757576,214819.086666667,228858.74,256243.848484848,260134.923030303,261644.210909091,268647.235757576,269324.315757576,277694.822424243,288018.572121212,271431.055757576,275752.081212121,283084.584848485,266061.321818182,273356.74969697,274084.482424242
174,"COM","Comoros",839.40932121212,836.015084848484,858.630969696968,876.458618181816,924.658163636364,962.974151515152,983.230787878787,1082.40380606061,909.971575757577,908.776436363636,962.046981818181,1058.48801212121,1076.9147030303,1128.86026666667,1249.55244242424,1286.99647272727,1358.7721030303,1529.32721818182,1584.42027272727,1627.45056363636,1691.11839393939,1643.13634545455,1612.75006060606,1663.03456363636
184,"COK","Cook Islands",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
188,"CRI","Costa Rica",16644.2770060606,14761.1983636364,13745.662,14394.3401818182,15651.6182424243,18535.5580606061,18100.9272727273,18188.3712727273,20969.1127272727,23257.140969697,23992.5967272727,23243.0343636364,22919.2782424242,22455.1579393939,23091.2611515151,23199.8952727273,21011.1990909091,20345.6604848485,20939.6041818182,23824.540969697,27275.6255151515,23997.4841818182,25998.1147272727,27087.0995757576
384,"CIV","Cote d'Ivoire",38518.2456242425,39827.5898181818,42236.2481212121,42112.1758787879,35518.4424242424,32761.7121212121,36527.0490909091,37312.6387878788,38138.2006060606,36402.2163636364,29141.2042424242,26831.1975757576,29616.8236363636,38014.4448484848,43406.7981818182,46034.136969697,51131.7236363636,64239.0345454545,67965.7393939394,69623.3006060606,67221.8781818181,63209.5818181819,58751.7842424242,59953.5042424242
191,"HRV","Croatia",-9999,-9999,-9999,-9999,-9999,50949.9391515152,50918.8393333334,49955.4095757576,52752.1839393939,49226.784,41387.0002424242,33414.1796969697,27446.0128602387,21401.4167680441,18103.2182413223,20047.2641109274,23411.6470681359,18815.2676253444,18351.839687787,14812.8100275482,17535.1426666667,17760.3918732782,21768.6964565657,24666.424568595
192,"CUB","Cuba",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
531,"CUW","Curacao",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
196,"CYP","Cyprus",14895.7886,14624.6635030303,13971.6185515151,14048.3500545455,14756.5344,15357.7432727273,15272.0391151515,15601.2818545455,15965.4673515152,16366.0402727273,15672.2235575758,14277.5567939394,11986.6126484849,8738.47864242424,5971.92548066115,5282.24687735535,5528.19463658401,6722.00230468319,7718.83115195592,8063.03326460973,8778.57649403122,9005.14324848485,10241.0016969697,11437.0502969697
203,"CZE","Czech Republic",449.399393939355,50104.7606060604,72826.9927272726,86345.929090909,108830.383030303,118325.438787879,125051.909090909,145405.106666667,162070.019393939,157291.670909091,115791.498787879,109075.637575758,100080.24,79364.2327272729,61719.0715151516,49424.5024242426,49431.2836363638,62246.6424242426,83525.68,96271.1375757577,85969.5236363636,64100.2939393939,72610.1775757574,78298.8454545455
180,"COD","Dem. Rep. Congo",66918.2123636364,70431.5964848485,69161.8077575757,68387.3096969697,68908.5072727273,77555.2163636364,86090.6903030303,84519.1545454545,70409.8254545455,76403.2084848485,75602.9890909091,84943.3775757576,83340.6066666667,96262.1642424242,114548.786060606,134199.772727273,143192.290909091,148784.419393939,152503.764242424,147625.312121212,142365.24969697,136531.578787879,125174.66969697,126289.420606061
208,"DNK","Denmark",93379.9187878788,61251.3660606061,57468.8442424243,41979.2,44936.178787879,34830.7684848487,17846.2151515152,52956.1533333333,56690.1181818181,52383.9375757575,43635.4127272727,34345.789090909,17420.4618181819,0,5422.12738292032,0,0,0,0,156.431515151322,0,1920.0715151516,7517.39515151516,6772.80484848484
262,"DJI","Djibouti",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1468.15796363636
212,"DMA","Dominica",407.723413151515,481.090055212121,515.564742787878,474.686060787879,452.689852242424,400.654112969697,405.515836181818,433.936098969697,457.692306484848,374.679861430303,352.023888545454,367.07386070303,432.539617769697,437.522682836364,437.664064509091,409.892688242424,395.421603248485,385.820350254545,356.712885866666,325.771012533333,311.570472121212,254.243347695133,250.633039878788,239.841140242424
