"code","iso","country","GHI.raw.1990","GHI.raw.1991","GHI.raw.1992","GHI.raw.1993","GHI.raw.1994","GHI.raw.1995","GHI.raw.1996","GHI.raw.1997","GHI.raw.1998","GHI.raw.1999","GHI.raw.2000","GHI.raw.2001","GHI.raw.2002","GHI.raw.2003","GHI.raw.2004","GHI.raw.2005","GHI.raw.2006","GHI.raw.2007","GHI.raw.2008","GHI.raw.2009","GHI.raw.2010","GHI.raw.2011","GHI.raw.2012","GHI.raw.2013","GHI.raw.2014","GHI.raw.2015","GHI.raw.2016","GHI.raw.2017","GHI.raw.2018","GHI.raw.2019","GHI.raw.2020","GHI.raw.2021","GHI.raw.2022"
328,"GUY","Guyana",8.07003867977653e-07,7.52052744504652e-07,6.98322670103649e-07,6.49642550974267e-07,6.01504868312195e-07,5.82789076919177e-07,5.62459508265687e-07,5.64870933836476e-07,5.81223138291106e-07,5.77740180640813e-07,5.50260728911404e-07,6.1893897946582e-07,4.96186162780792e-07,5.52655932635989e-07,5.38318889117681e-07,4.87698071568337e-07,4.42047231909827e-07,4.52828025397769e-07,4.47963792476673e-07,4.61295977994152e-07,4.5002091654469e-07,4.43739925942124e-07,4.27421381540968e-07,4.22868506799185e-07,4.38056230812708e-07,4.46095233529643e-07,4.30928498838238e-07,4.26707072505368e-07,4.23448360081635e-07,4.11062859324214e-07,2.66811415850783e-07,2.34473011445605e-07,1.58004607093066e-07
332,"HTI","Haiti",2.60079755760347e-07,2.64929790263462e-07,3.00318693457266e-07,3.0368878560862e-07,3.40084309745063e-07,3.73551878419601e-07,4.00046278528209e-07,4.05780076169243e-07,4.00167737838814e-07,4.02172558845045e-07,3.97611674487496e-07,4.10207201418904e-07,4.21410359937823e-07,4.06634180333915e-07,4.24288311355615e-07,4.22912506978352e-07,4.21178714605e-07,4.20669541853734e-07,4.11465093228134e-07,3.91814658324876e-07,4.16305460707363e-07,4.0191874282759e-07,4.07326722598563e-07,3.96103352618601e-07,4.01947653944075e-07,4.12060613636757e-07,4.1310195255959e-07,4.06849127161433e-07,3.98945039268846e-07,4.1195193856496e-07,4.20612998919268e-07,4.28726866382466e-07,4.44456638038471e-07
336,"VAT","Holy See",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
340,"HND","Honduras",4.70529666860728e-07,4.8967540035501e-07,4.73768474460342e-07,4.34306689252096e-07,4.65803744578187e-07,4.63867868694468e-07,4.53601226460914e-07,4.33539011761832e-07,4.32128757907907e-07,4.0706110904722e-07,3.96411275447548e-07,4.23067252962416e-07,4.34482281601173e-07,4.79935250634604e-07,4.77305031101212e-07,4.83835793413707e-07,4.31070379953642e-07,4.49028554501283e-07,4.27774173410384e-07,4.30388102577465e-07,4.12773234746683e-07,4.1736546277042e-07,4.07267429052152e-07,4.00507053203531e-07,3.91340339388873e-07,3.92472710463177e-07,3.73911038576006e-07,3.6415053479126e-07,3.66028586051512e-07,3.72962325245761e-07,3.81610152625529e-07,3.65798695930701e-07,3.55352483178872e-07
344,"HKG","Hong Kong",1.94278491031944e-07,1.92342049808883e-07,2.05874547764902e-07,2.04014861186124e-07,1.74571331364902e-07,1.71413605327875e-07,1.53552289261808e-07,1.5318223218292e-07,2.02337281432724e-07,2.1541860466839e-07,1.89922572302778e-07,1.78003681237409e-07,1.81695165293832e-07,1.90917525989414e-07,1.69765800266129e-07,1.6572462423682e-07,1.49061562179521e-07,1.45285658909226e-07,1.40005656416243e-07,1.40300258920208e-07,1.2726524278045e-07,1.29885472952538e-07,1.26672583356063e-07,1.2677685262709e-07,1.26455931565701e-07,1.16142003664454e-07,1.16221042063505e-07,1.10113738024207e-07,1.08285255857285e-07,1.05115489447356e-07,8.53937661803698e-08,7.69912452233828e-08,7.36684138694329e-08
348,"HUN","Hungary",-9999,5.19111652768449e-07,4.75766200987013e-07,4.85275732023406e-07,4.64903190094037e-07,4.51411696946484e-07,4.64058089138008e-07,4.41202041829446e-07,4.21761689883619e-07,4.11627617667525e-07,3.79570619523885e-07,3.73647824628008e-07,3.4880439652906e-07,3.48144179496793e-07,3.2679000870596e-07,3.12127552077601e-07,2.95051884216533e-07,2.87827966462599e-07,2.76904818110337e-07,2.71477718736632e-07,2.71335316488311e-07,2.59844610136266e-07,2.49422051529855e-07,2.33760269172673e-07,2.25534671457284e-07,2.29307673811803e-07,2.26308413811498e-07,2.25305237598049e-07,2.13486718649936e-07,2.02857884345251e-07,2.06507577627243e-07,1.96703613388251e-07,1.7914674991563e-07
352,"ISL","Iceland",-9999,-9999,-9999,-9999,-9999,3.94104098658624e-07,3.82800187233187e-07,3.78784654779691e-07,3.66368862318528e-07,3.71389002422904e-07,3.55714201079832e-07,3.3379162378032e-07,3.38667105100119e-07,3.29116569764633e-07,3.12516387747312e-07,2.83782185015947e-07,3.0654867144177e-07,3.00822033346758e-07,3.17077512903633e-07,3.22208668412826e-07,3.25603062028085e-07,3.04590106961627e-07,3.01565539803082e-07,2.88882063891315e-07,2.84033899642483e-07,2.76440278051142e-07,2.57278207562144e-07,2.50971695061964e-07,2.43073986875783e-07,2.31720933135327e-07,2.39000971620245e-07,2.36206035343166e-07,2.54063243000762e-07
356,"IND","India",7.43207237469228e-07,7.65594203538589e-07,7.50721220704575e-07,7.31174676052281e-07,7.11632947549322e-07,6.92066800040558e-07,6.81176019428246e-07,6.77482302972389e-07,6.51181384656856e-07,6.27060484508605e-07,6.18152823166544e-07,5.88600543932462e-07,5.64710405562372e-07,5.39479885361187e-07,5.16744281361986e-07,4.95441290344165e-07,4.79071023849994e-07,4.68464200507086e-07,4.80527174184043e-07,4.78610183122891e-07,4.41928118308699e-07,4.40439552167411e-07,4.36785777458684e-07,4.22625181920908e-07,4.10890538269219e-07,4.06050045937218e-07,3.92200741992532e-07,3.82675384766796e-07,3.72281362078165e-07,3.62033652455212e-07,3.64656370051361e-07,3.62448446570266e-07,3.52410583104009e-07
360,"IDN","Indonesia",3.91551255483674e-07,4.02802070412609e-07,3.95499560215399e-07,3.84742008357434e-07,3.73844826876461e-07,3.65037030064955e-07,3.78055036778683e-07,3.92476217688543e-07,4.02605570866574e-07,4.37764351501216e-07,4.53162212960621e-07,4.68488205438918e-07,4.54631739504571e-07,4.44631812138624e-07,4.41093271611056e-07,4.23202968110784e-07,4.12700579738452e-07,3.8803996701753e-07,3.7802613340699e-07,3.61362888704283e-07,3.68696226259475e-07,3.68692997514262e-07,3.61929612148279e-07,2.96800836134559e-07,2.88882934173204e-07,3.12989455917532e-07,3.22360016178789e-07,3.21965992929494e-07,3.19038618119118e-07,3.13723688864282e-07,3.04488593286826e-07,2.99218692337727e-07,3.42302853683427e-07
364,"IRN","Iran",6.12320451785637e-07,5.95679759510014e-07,5.90011596166786e-07,6.21813061346947e-07,6.85233740187019e-07,6.80293866084914e-07,6.47655706278328e-07,6.31047544715562e-07,6.62438981379279e-07,7.51694639735508e-07,7.06213751300864e-07,7.38814081836387e-07,7.00798118730079e-07,6.9500632590565e-07,7.24719561672628e-07,7.37720969076618e-07,7.65368171450628e-07,7.25332440372563e-07,7.46439398660348e-07,7.62248759039477e-07,7.50725423282937e-07,7.44679861170187e-07,7.87566869731398e-07,7.97665987286806e-07,7.92917815008822e-07,8.06420727154503e-07,7.68405366038744e-07,7.94190822859259e-07,8.38990362786174e-07,8.68660011117461e-07,8.70558624894176e-07,8.69509282031082e-07,8.43227125755191e-07
368,"IRQ","Iraq",1.08896223428762e-06,1.48458850976479e-06,1.44480134005992e-06,1.23739681110049e-06,1.30225529342722e-06,1.32016947196145e-06,1.12225603164736e-06,1.05330910131135e-06,8.71493848976948e-07,7.9076996104001e-07,7.00931920498164e-07,7.57775595918233e-07,8.11840280986252e-07,1.31499362799572e-06,9.63595981775838e-07,9.44830903937016e-07,8.17837491632776e-07,6.18334425291875e-07,7.23087326741166e-07,7.83139285884644e-07,8.02237626075888e-07,8.63269192368556e-07,8.46414203661002e-07,8.29459654134242e-07,8.43786478750737e-07,8.32714482506191e-07,8.69997713133605e-07,9.29039539365207e-07,9.25660571726053e-07,9.05729698036075e-07,9.50727198885519e-07,9.74632157664459e-07,9.99638554683411e-07
