"code","iso","country","CDA.raw.1999","CDA.raw.2000","CDA.raw.2001","CDA.raw.2002","CDA.raw.2003","CDA.raw.2004","CDA.raw.2005","CDA.raw.2006","CDA.raw.2007","CDA.raw.2008","CDA.raw.2009","CDA.raw.2010","CDA.raw.2011","CDA.raw.2012","CDA.raw.2013","CDA.raw.2014","CDA.raw.2015","CDA.raw.2016","CDA.raw.2017","CDA.raw.2018","CDA.raw.2019","CDA.raw.2020","CDA.raw.2021","CDA.raw.2022"
498,"MDA","Moldova",-9999,-9999,-9999,-9999,-9999,-0.0426387176737507,-0.0265621038554295,-0.0103654587083421,0.00647773307139632,0.0251055059857563,0.0285368089433935,0.0265602964821496,0.0283811827892384,0.0224544931515474,0.0172078558908659,0.0145399458908806,0.0137891410889719,0.00711402333865263,-0.000387075215948029,-0.00219727317038903,-0.00313694766355728,0.00271080130414725,0.0122991309901577,0.0176642006249086
492,"MCO","Monaco",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
496,"MNG","Mongolia",-0.0894707293811287,-0.102538427702246,-0.0752368434828551,-0.0385100489432116,-0.0105207321345312,0.00334230547695058,0.0271728350261855,0.046303489247423,0.059419358527852,0.0669472220967307,0.0694863165829802,0.0715006753311609,0.0728514148101838,0.0760781783110744,0.0733804689313398,0.0602583863403434,0.0374392923389457,0.028540363641536,0.0357612892418979,0.039621990974348,0.0436044574337011,0.0445604566122066,0.0485003318297386,0.0533978987724268
499,"MNE","Montenegro",-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0309164504490369,0.0158636008733111,0.0209387124237947,0.00277785253540275,0.00649152392094643,0.00243942584091883,0.0060756897459624,0.00327617125555002,-0.000883133904534781,-0.00485794465761481,-0.00811912345652881,-0.0111976592829283,0.00738290600425717,-0.00712615184017755,-0.00180393805013674,0.00518022763663839,0.00960864026801733
504,"MAR","Morocco",0.038861412738862,0.0350713180659876,0.0363361417500707,0.0360373550624751,0.0347684842442699,0.0409913649027354,0.0467608292617478,0.0506787383477825,0.0533694552325867,0.0546056751444208,0.0513006991300684,0.0483944140372525,0.048891408120904,0.0490041786460764,0.0415169283419012,0.0383490943497427,0.0357871516716601,0.0314446931374881,0.0289761369028321,0.0280210313957228,0.0279794065041785,0.0225300913788644,0.0238292656408323,0.0243818679745993
508,"MOZ","Mozambique",0.017735058077385,0.0278887110889849,0.0524171188006375,0.0683401893004978,0.0946208282430903,0.114511947218727,0.124236728079133,0.124660857974453,0.1229916576661,0.103790446273232,0.0808119220101471,0.0617962844174111,0.0621428622667137,0.0534604928533597,0.0648728275608048,0.109725407609079,0.122910526203435,0.139450262538795,0.150417135265377,0.147053644777377,0.134465168255346,0.108759984802944,0.0851681237277038,0.0521053762507875
104,"MMR","Myanmar",0.0845584558685537,0.0856028298302431,0.0718756764210682,0.0609888593278596,0.0529578038918346,0.0501187128899139,0.0424158068235532,0.0386219450979139,0.0314637635498038,0.0103002615922172,-0.00321999148170327,0.00196564408279487,0.00941959988461605,0.00421410561640934,0.00850286318058235,0.0262730586351949,0.0519143302432388,0.0865161551618256,0.11368757919985,0.11335955285448,0.107663659123882,0.106370688492166,0.107808582854918,0.0851763800464145
516,"NAM","Namibia",0.0591912147029732,0.0565022984453367,0.0568521928251369,0.0552127701883263,0.0594369578926646,0.0632537397566999,0.0636604198676147,0.0638793865574028,0.060585190854946,0.0525842882912846,0.0456195972718278,0.0368099449930663,0.0294496072733983,0.0247326895336653,0.0221476174300963,0.0252290351101665,0.0329039282966799,0.0413539432878052,0.0493821802955268,0.0524132732044753,0.0497543947608943,0.0359093455828055,0.0264071059766624,0.0242099714777837
520,"NRU","Nauru",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0554136602607769,0.087935889393908,0.112657498272403,0.0874167997536612,0.0500673426209515,0.0280328686396063,0.0205449437375018,0.0220753363575283,0.0170217093033052,0.0138638317225503
524,"NPL","Nepal",0.144194854122608,0.116095793321071,0.097336087078592,0.0663968723534343,0.0434338187567236,0.0139334781539071,0.00949278228228678,-0.0069815431118727,-0.0145445026815722,-0.0180946704434703,0.0130463417586253,0.042252709096471,0.0752052944096584,0.0908436504645644,0.114896205395252,0.129757533943702,0.133428676726532,0.136533502416599,0.134892736203957,0.134630916615072,0.136998550111408,0.131428510058287,0.120503351715068,0.100597957333909
528,"NLD","Netherlands",0.00572177303271504,0.00181479662882644,0.00202868478232232,0.00151419844320788,0.00187769076732658,0.0026119216143714,0.00183208599002826,0.00253705841181961,0.00123806120735348,0.00139868380571451,-0.00271966352107018,-0.00225425997523602,-0.00579941131060718,-0.0116461745824835,-0.0131681938415041,-0.0156458183795016,-0.0148333531265288,-0.0150145619544137,-0.0160669665029611,-0.0177021609279749,-0.0223025082256431,-0.0263718913095316,-0.0318049461995397,-0.0404790985853019
540,"NCL","New Caledonia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
