"code","iso","country","PSE.raw.1961","PSE.raw.1962","PSE.raw.1963","PSE.raw.1964","PSE.raw.1965","PSE.raw.1966","PSE.raw.1967","PSE.raw.1968","PSE.raw.1969","PSE.raw.1970","PSE.raw.1971","PSE.raw.1972","PSE.raw.1973","PSE.raw.1974","PSE.raw.1975","PSE.raw.1976","PSE.raw.1977","PSE.raw.1978","PSE.raw.1979","PSE.raw.1980","PSE.raw.1981","PSE.raw.1982","PSE.raw.1983","PSE.raw.1984","PSE.raw.1985","PSE.raw.1986","PSE.raw.1987","PSE.raw.1988","PSE.raw.1989","PSE.raw.1990","PSE.raw.1991","PSE.raw.1992","PSE.raw.1993","PSE.raw.1994","PSE.raw.1995","PSE.raw.1996","PSE.raw.1997","PSE.raw.1998","PSE.raw.1999","PSE.raw.2000","PSE.raw.2001","PSE.raw.2002","PSE.raw.2003","PSE.raw.2004","PSE.raw.2005","PSE.raw.2006","PSE.raw.2007","PSE.raw.2008","PSE.raw.2009","PSE.raw.2010","PSE.raw.2011","PSE.raw.2012","PSE.raw.2013","PSE.raw.2014","PSE.raw.2015","PSE.raw.2016","PSE.raw.2017","PSE.raw.2018","PSE.raw.2019","PSE.raw.2020"
44,"BHS","Bahamas",0.12765498774621,0.130667726639085,0.135802537845058,0.139068041237113,0.138546648507691,0.154703749213295,0.140520095695691,0.128755494807147,0.127537679813299,0.145494123404846,0.106150047584504,0.1402839123583,0.126500342090667,0.151205602898767,0.188136007368006,0.155719872402333,0.131207940418136,0.168416651493388,0.180994580763868,0.209336582450558,0.185521140290525,0.142610472901543,0.111894935353366,0.160078643570372,0.248801633490932,0.234488956103869,0.233996211107662,0.248800216837887,0.258343025175088,0.266827527787047,0.268858972312386,0.235337426158136,0.270134136326307,0.312984314297827,0.204369506296701,0.181603351653152,0.197064086737672,0.15537967959146,0.256415509060609,0.276682145359182,0.237420479897123,0.208017576410407,0.189529255364478,0.195164075993092,0.192353835408193,0.203155858533836,0.211664054074641,0.212716886487171,0.205492087943511,0.292122866894198,0.292661471174933,0.290301859928483,0.282863882336617,0.314104888559068,0.265780742623182,0.258055445055623,0.245658013117234,0.276739670619671,0.276817015034837,0.276882201813404
48,"BHR","Bahrain",2.29558484833635,2.36630196936543,2.38149703199653,2.36358846632819,2.35560610368685,2.02774363476734,2.06087680112118,2.07651229974613,2.06432672797133,2.0155087367277,1.9618726443166,1.77352826923756,1.65871783862338,1.52957139659803,1.35891669457869,1.68984782012613,1.84701571631893,1.85367594575303,1.53040281414478,1.22984774550252,0.531986024938257,0.365897410057442,0.209043608244459,0.217321590821362,0.192386058477775,0.120103027043213,0.350245535385114,0.346017184572647,0.231415575015937,0.129236354954369,0.122707021430171,0.135736179359821,0.142833225390028,0.165680317273279,0.190603129357633,0.195174593723732,0.190998238785849,0.193905199069204,0.339745837599764,0.326834886998576,0.352997716182245,0.40856388933312,0.40187997246022,0.411769595212368,0.373052228438404,0.561967282545397,0.339799913005655,0.511906101173735,0.53683079036159,0.478291593645769,0.420043233895374,0.44212047198046,0.43847662103037,0.440059715917916,0.188647727937306,0.127588966847183,0.0881978598994052,0.0848890325172718,0.0851179588685483,0.0831723067552012
50,"BGD","Bangladesh",2.65403931697518,2.31647315272032,2.16922360025808,2.08123434455886,2.10710401683915,1.72778729653653,1.81870426957472,1.701366466045,1.64850806260935,1.44454264250994,1.42893658066072,1.24035038512158,1.4136999913592,1.44057306590258,1.36069728746663,1.19419446390401,1.04047302037252,0.93392503687641,0.832040143629011,0.996144295678866,0.990592662276576,0.975051655941909,0.840294282981094,0.872019061643555,0.995578580679737,0.902006133531671,0.798583217702476,0.762578307662103,0.753045642756277,0.706702952579779,0.76479060665362,0.779328755564608,0.984643056050106,0.903198527144757,0.916039617521422,1.18908723335522,1.18622771886867,1.01633325968353,0.967187209518498,0.89432884037665,0.844468856158618,0.799252354863251,0.900984950631541,0.74931865772942,0.799302717118692,0.841350548446069,1.00733956795701,1.91604708481198,1.12045954911491,0.92281567529353,0.70743734344416,0.666615391517809,0.649435690932264,0.61409017024553,0.586566960880462,0.571284875802317,0.614501135453936,0.566900101270043,0.526379295897724,0.548832390173289
52,"BRB","Barbados",3.43236697599693,3.05286082973753,3.435715853099,2.92896453518579,3.80389780543727,2.64465266233439,1.58619546165143,1.37276114056455,1.03869691343244,1.10919930543574,0.935684386847778,1.45175583793832,1.30298057862871,0.94231850362564,0.783053304570885,0.429184003001615,0.545787260551316,0.450600367283515,0.517431944589204,0.580078474372704,0.459974727168294,0.39121401415373,0.285571051290367,0.330695896805707,0.395039456697855,0.38809996394933,0.567147400850972,0.543822516049237,0.51887781636385,0.556375445212655,0.540533590756377,0.552388849550926,0.472134794235275,0.465189771962206,0.386607740254252,0.499425981233187,0.519833533928904,0.430780974149474,0.487743531930307,0.523828400096149,0.457490920792534,0.584537292313566,0.330622785747847,0.470283418436159,0.470794243917952,0.247420407774724,0.24818873166247,0.317851042084241,0.285314836953576,0.132732973476537,0.274454016548993,0.176775090643501,0.253114562645782,0.234350472721172,0.165730891854527,0.103714682381665,0.151391730999678,0.186743459019911,0.148784278710616,0.134355631821427
112,"BLR","Belarus",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.185504778005776,0.248084980641446,0.399544920964189,0.412954924874791,0.359077732982374,0.347244462895966,0.295480711969827,0.36573695765607,0.367397275195879,0.433039715920844,0.443237645698873,0.421776702385067,0.455798790227552,0.352885087367904,0.284854601533687,0.306589164290415,0.355414909751504,0.305293406044046,0.26527696379801,0.245082038455224,0.33091724281133,0.297264422802191,0.432176846465936,0.401193651747809,0.475656573541204,0.529277910477294,0.382202416616737,0.475026070940044,0.500358792944998
56,"BEL","Belgium",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.305464048438449,0.282226958122472,0.321360463215585,0.327042552312206,0.351986781440716,0.329672367524595,0.309916751056133,0.329900840127934,0.435405003443892,0.435516769209884,0.39787790804162,0.41505494576363,0.389671694485161,0.410907283073744,0.475757215072886,0.441064988209183,0.362927441563524,0.454074221234761,0.361243052046488,0.421630572541329,0.391260799030712
84,"BLZ","Belize",0.716564387297877,0.327420013614704,0.287521510627413,1.21155624606962,0.399932641032837,0.393969037895337,0.451703999532121,0.511328349626222,0.452043921153592,0.478307035757039,1.01002195570027,0.770302348129409,0.430041501548259,0.674602698136348,0.498520989363711,0.828761387570736,1.56604258915612,1.08994439398303,1.04048166821675,0.959361175676689,1.29501870735823,1.5252880045114,1.24451427790682,1.09335901147761,1.02179813088703,0.60202159467107,0.591619536822848,0.659039476992708,0.750730303762437,0.610038902642348,0.575946872062347,0.508987934006402,0.461268287805213,0.853254437869822,0.496064447778386,0.962851032769461,0.640306921390542,0.549006709643468,0.55962654446562,0.83808940962797,0.699810289938853,0.210944217662446,0.452774720234819,0.963412520873373,1.45308561964427,0.818177861508521,1.61783659927918,1.35865294883464,0.894956007281553,1.81498626584308,0.233880091661216,0.698367488711358,0.350698277374907,0.431502577610287,0.220343712936908,0.208101628524225,0.295223382979775,0.394424709953806,0.175444193850047,0.209027747046068
204,"BEN","Benin",3.70625662778367,3.2103193708875,2.89328794494191,2.71477428180575,2.74781272957991,3.15179658952497,2.70197874912515,3.18188650883127,2.8495747441257,2.66505785123967,2.4857999755172,2.43153452989421,2.47076630854158,2.22475200191227,2.42504083516796,2.76790957134469,2.92224992209411,3.2320808812434,3.15915893991385,2.65237924865832,2.38999397227245,2.0261000501924,1.84241828713281,2.24233114555695,1.51490514905149,1.89980274693162,1.53309679565362,2.73921060500349,3.74901289813109,2.74976726866505,2.56720545277507,2.17361678931589,2.4559476513204,2.40628892704441,1.60054768930308,2.25742286329136,2.32030816820848,2.34563035043419,3.31724893590122,3.09257244969311,4.09080973671138,3.73514137334103,9.66472536256709,10.6011726696183,8.43976493633692,8.50077194530216,8.04231221284325,10.0955518945634,5.91260997067449,3.72563673066186,7.59448880538594,4.59711986035687,7.14563460278162,7.84918775972799,10.2614019321501,5.81953965334671,11.8769912438021,2.64846136816471,1.93683449553444,2.70068056420275
60,"BMU","Bermuda",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
64,"BTN","Bhutan",1.51593766184849,1.52454804074516,1.53450827391363,1.53744859567766,1.54125355634106,1.55156382079459,1.55915044832858,1.58010214504597,1.58714125380792,1.59207270244901,1.59902087953471,1.60350239550636,1.61199058288683,1.62220288413725,1.60634410760891,1.58050521023395,1.57046689237068,1.55997247916826,1.56286012606829,1.59115978569177,1.59608453162348,1.55839580209895,1.56067153619641,1.65632976494343,1.45899139527285,1.34757505773672,1.21605062950246,0.836618155713633,0.83144789425146,0.989782077945565,0.901730666917034,0.978643636607083,1.08396132044015,1.17878890392422,1.19442210570335,1.27061157024793,1.32355136382141,1.28644671571728,1.14265407334871,0.89664699662312,1.04018688177538,0.881665947966077,1.01365843054851,1.31536855515057,1.62560044234026,1.58557550968237,1.59457418380388,1.46598910900385,1.03977822430602,1.30436087448346,1.55081910970066,1.4669647745939,1.27167532412686,1.38051084295587,1.4254930606282,1.39850025758935,1.57104125587745,1.08395919739939,0.920326969838067,0.965305798812398
68,"BOL","Bolivia",0.973422527571868,0.951288262497247,1.01213634016182,0.95971025673996,0.980342553809149,0.944154360773436,0.937989847715736,0.975625671733456,0.88003535370704,0.891882556131261,0.8939589753786,0.928416975956108,0.988715507361368,0.945484930559557,0.962812268821488,0.931603254893336,0.840329835082459,0.75491426181514,0.80920140739951,0.75799533448717,0.718444026964305,0.831967111000374,0.440477368535634,0.811034415234738,0.90949699874366,0.903373083475298,0.918893038398928,0.867497422564884,0.762885657465015,1.20246784845325,1.26838551578508,0.977473441699731,1.10697012206612,1.21843358812452,1.40551219042112,1.35549180136683,1.21371184870873,1.42650602409639,1.38005404449832,1.45441911495794,1.41297244687507,1.37772375690608,1.56777945192579,1.44369045479058,1.38214248461458,1.45704680173405,1.23974954554635,1.22744569864888,1.41751671480801,1.12898658332326,1.17981696759832,1.41420035884126,1.41563334370751,1.46086368630102,1.5670121632226,1.59800195095698,1.243513462896,1.49815171471173,1.48212220585207,1.25946686767628
70,"BIH","Bosnia and Herzegovina",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.589389872356812,0.566209128709129,0.524190176353396,0.456519610243353,0.668985487951005,0.806806705716017,0.531539224327898,0.640495688250755,0.44542628581366,0.530871677370317,0.606831475554575,0.427533003493798,0.563637225619874,0.53236835678458,0.5074263914879,0.414082275599585,0.585516831164118,0.642376089444493,0.452578797922147,0.462620765503968,0.383317270442391,0.49215807521502,0.447852338433702,0.474451484219172,0.615688602757008,0.462511037581144,0.728444550878252,0.664367952757466,0.746149578127691
72,"BWA","Botswana",0.947382671480144,0.379782879515928,0.412112129760226,0.446656189977301,0.464391549565051,0.655196419691696,0.851823835938813,0.365203761755486,0.49841031273484,0.216682697445763,0.72325759509829,0.56366265060241,0.300875223388168,0.624568639003451,0.404658046424677,0.565629131972984,0.377613981256045,0.258139854375601,0.207063563499207,0.329010659175742,0.354785730654648,0.2048937784522,0.227567195037905,0.194170214756936,0.284895236109663,0.27807618390578,0.26680800942285,0.649857954545454,0.479029448009179,0.373354590793884,0.308315551844636,0.2043663003663,0.369332348323945,0.375046921921922,0.39566590700092,0.615750045678787,0.324276217806677,0.179383116883117,0.204869592624695,0.21195435609491,0.214454526271365,0.279834347532116,0.301595301748696,0.229582878564988,0.249423975090815,0.259862617769603,0.212245706083255,0.238510358040953,0.259650735294118,0.283943798877745,0.40736835939788,0.321261964822558,0.209810333551341,0.291368437342825,0.218661469892997,0.369559147457575,0.189173843096432,0.478513922362956,0.290947623372692,0.759645560273214
76,"BRA","Brazil",0.866594310347463,0.909092275097294,0.88677572498999,0.932379211437573,1.06054470443162,0.994404608322583,0.921622316493123,0.84614668976986,0.867788094707063,0.734663481532346,0.682181168584239,0.527254153523334,0.542221327736408,0.532148669744578,0.508941985529384,0.446972514283782,0.423507413273441,0.377361823361823,0.366918793117779,0.372594977462975,0.512876296842225,0.537746523796144,0.6057207650128,0.482418462912611,0.619674875213005,0.479891287562927,0.533115505805328,0.575419985678346,0.681024621418455,0.628001667593107,0.576763005036698,0.609946969469994,0.545625597684216,0.535709821986537,0.682540615019814,0.563684194519631,0.543096059749954,0.563581316856995,0.603123944693622,0.523092678345909,0.573705419622605,0.557380760523387,0.559324681367254,0.480755322022674,0.605295888115251,0.593685456110155,0.548227589323931,0.657319759679573,0.682317869138591,0.686941542676969,0.626562871984327,0.586577128362608,0.593194739679214,0.59660407887749,0.705250058764155,0.650372549820876,0.712582206197171,0.674265640731677,0.696249102875941,0.581768682488093
92,"VGB","British Virgin Islands",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
96,"BRN","Brunei Darussalam",0.169440311954242,0.176309182711602,0.154282090912694,0.159360648124258,0.151058387492496,0.142890079487067,0.180113199787886,0.172714501837043,0.198087588051067,0.185978877992615,0.157951767059347,0.173110173110173,0.200797410893228,0.255488034342899,0.241394662697358,0.196293329449461,0.139815784064891,0.128159238510733,0.131212422477868,0.0944434629653811,0.0972549652833845,0.0877531225639835,0.124636930842701,0.103132242857748,0.0531030712763702,0.0739858724316298,0.0560410268296923,0.0622835388634665,0.0757833963908926,0.0653076359053994,0.0674026965741966,0.0625974659537206,0.0642289553588733,0.0673512518447291,0.0703335420835306,0.0751619516614922,0.0597692317174897,0.051707642875194,0.0428397715061365,0.041550885204625,0.0366829433973409,0.0424503542414384,0.038157339342678,0.0347412293190683,0.0374059332724346,0.032603152157963,0.0268789594032312,0.0313004673307925,0.0320201325842874,0.0260069585392939,0.0355944289516377,0.0317907019235299,0.0282164088493622,0.0295129206669657,0.0309678368683918,0.0300034869674591,0.0316349870036847,0.0294177988510988,0.0308991915525491,0.0299882549444323
