"code","iso","country","CDP.raw.2000","CDP.raw.2001","CDP.raw.2002","CDP.raw.2003","CDP.raw.2004","CDP.raw.2005","CDP.raw.2006","CDP.raw.2007","CDP.raw.2008","CDP.raw.2009","CDP.raw.2010","CDP.raw.2011","CDP.raw.2012","CDP.raw.2013","CDP.raw.2014","CDP.raw.2015","CDP.raw.2016","CDP.raw.2017","CDP.raw.2018","CDP.raw.2019","CDP.raw.2020","CDP.raw.2021","CDP.raw.2022"
508,"MOZ","Mozambique",7.43981872314553e-05,8.52872189594053e-05,8.22177596600231e-05,9.67082333964416e-05,9.464476214023e-05,8.75606419637478e-05,9.23815396269504e-05,0.000102857735045791,9.9788332178318e-05,0.000108706294728165,0.000114179568270384,0.000130748014471241,0.000124746244820849,0.000141843333925806,0.000311923755959049,0.00025073748094465,0.000308607334053039,0.000241704469943242,0.00023824761934164,0.000234471187301281,0.000204505275941032,0.000224157663331398,0.000242745903981661
104,"MMR","Myanmar",0.000224412425243948,0.000192453267973258,0.000200688912624086,0.000213047808331143,0.000265439387016804,0.000242119175813526,0.000266456947757819,0.000265062770045558,0.000200536826256712,0.000208245002784047,0.000265667641235575,0.000303687245825856,0.000235343479814521,0.000251185975657407,0.000310330725819248,0.000425125597015355,0.000407389864988812,0.000451918897480107,0.000645897391362726,0.000633800699293291,0.00064784174599199,0.000662092939671136,0.000644567253147685
516,"NAM","Namibia",0.000882192199505151,0.00108356702912408,0.000946787572311725,0.000983226176958116,0.0010164101791992,0.00117786195178986,0.00117672476716008,0.00112570768364975,0.00132644739991916,0.00133595948390628,0.00135266004246236,0.00130471500792557,0.00154791278452616,0.00116476133018222,0.00163976589173618,0.00168716749959696,0.00174368584700037,0.00178307993998666,0.00172712905462374,0.0016802875542509,0.00147918646797909,0.00147514609795741,0.00153991083794967
520,"NRU","Nauru",0.00812103690854775,0.00777844253594519,0.00743348468746981,0.00637587006960557,0.00638142235123367,0.00603682884279899,0.00427122595686808,0.0042824583617415,0.00429249243385727,0.00393862992279879,0.00429333072942096,0.00391947875133716,0.00420988127154347,0.0044540864035908,0.00468884826325411,0.00491372373714797,0.0044850922444697,0.00470467385721623,0.00460919154646092,0.00453016815034619,0.00416532683719042,0.00427829083826902,0.0041776327677938
524,"NPL","Nepal",0.000123676399959161,0.000129670974712618,0.000102493492361451,0.000109426217005273,9.93082998534123e-05,0.000113629816207084,9.26306436966446e-05,9.62182412378527e-05,0.000124687315512265,0.000152786511751915,0.000177615090352782,0.000191460143936591,0.000200150540613665,0.000227081324844741,0.000276429428419576,0.000250075162783968,0.000361977656657355,0.000441033512568256,0.000519130998234475,0.00047081909615735,0.000507772095562866,0.000520335535097283,0.000507403581702678
528,"NLD","Netherlands",0.0108013026619223,0.0110397742502664,0.0109274166955928,0.0110874306631484,0.0111646544573939,0.0108983180044867,0.0105830337764914,0.0105451077757995,0.0106843801775894,0.0103044312949672,0.0109753013973609,0.0101313771745084,0.00987658273772056,0.00981135288796152,0.00933694004671548,0.00966959767759163,0.00967048061639134,0.00946820262781403,0.00917695848688568,0.00879276535196629,0.00783674670612814,0.00797961599743427,0.00708114962389363
540,"NCL","New Caledonia",0.0104134208525866,0.00863522771232602,0.0108006597827907,0.0120976735712177,0.0109941531934882,0.0120977362461712,0.0114809826765253,0.0122331789070629,0.0117323775830109,0.0123431932360732,0.0146451460523998,0.0145249780324958,0.0143071894874046,0.0150583315976071,0.0186870673416472,0.0180988237263764,0.0202862005035504,0.0206187530287714,0.0218055390397868,0.0209145661067974,0.0187520127086317,0.0165178050188466,0.0184811591036795
554,"NZL","New Zealand",0.00835873858916492,0.00885930687558871,0.00874803257496404,0.00899905455778213,0.00876713807860362,0.00905280963026145,0.008920690946844,0.00862016258051231,0.00880519905719611,0.00804627792040227,0.00800109961892142,0.00781593798942616,0.00815413568405268,0.00793323548035438,0.00784634309191679,0.00776937056168506,0.0072448622506086,0.00741382357559496,0.00728567871934971,0.00740659860269134,0.00672612578243486,0.00671401239905634,0.00628633631655569
558,"NIC","Nicaragua",0.000726363880478896,0.00075523354484344,0.00075866119745535,0.000814426863412846,0.000812783977248423,0.000782834294647594,0.000798956147547654,0.000811541724507237,0.000767527505264477,0.000770294346870797,0.000762986401246822,0.00080872706769581,0.000754445865680105,0.000752594019960393,0.000764272827478464,0.000862247982454068,0.000846133520031616,0.000842724799645151,0.000791087833985756,0.000783705269838498,0.00070285380700284,0.000785939057177999,0.000798796937389615
562,"NER","Niger",5.91060596047487e-05,5.36964144689118e-05,5.49641000150887e-05,5.76479543204129e-05,5.92370894687952e-05,4.98864090995921e-05,4.67172831719186e-05,4.76273405503698e-05,5.12544450555902e-05,5.93706993149898e-05,6.96788087207331e-05,7.61836942965434e-05,0.000102731651079259,0.00011142114341728,0.00011647007248869,0.000109600887530583,0.000102535515124164,0.000103496572598031,7.98779558296701e-05,0.000107209944594293,0.000115753446707763,0.000120342505554891,0.000116688014113647
